case_id;date;start_of_week;start_of_month;translated_comments;sentiment;sentiment_rate;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-27898;2025-01-10;2025-01-05;2025-01-01;The phone agent was great at explaining my loan terms.;positive;4;chatbot;2;5;PROMOTER;1;0;Grupo B;1;1;Grupo B;General Inquiry
CASE-19785;2023-04-08;2023-04-02;2023-04-01;The phone agent walked me through everything step-by-step.;positive;4;chatbot;2;4;PROMOTER;1;1;Grupo A,Grupo B;2;2;Grupo B;General Inquiry
CASE-26887;2023-07-09;2023-07-09;2023-07-01;The staff made transferring funds so easy and stress-free.;positive;5;chatbot;4;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Fees Inquiry
CASE-27160;2023-11-27;2023-11-26;2023-11-01;Phone support was disrespectful and unhelpful.;negative;1;chatbot;40;1;DETRACTOR;0;1;Grupo E,Grupo E,Grupo H,Grupo B;3;4;Grupo B;Fees Inquiry
CASE-26589;2025-01-07;2025-01-05;2025-01-01;The email response was delayed and unhelpful.;negative;1;chatbot;14;1;DETRACTOR;0;0;Grupo A,Grupo E,Grupo F;3;3;Grupo F;Transaction Error
CASE-18477;2022-05-27;2022-05-22;2022-05-01;The phone team wasted my time with no solution.;negative;1;phone;32;1;DETRACTOR;0;0;Grupo I,Grupo D,Grupo E,Grupo C;4;4;Grupo C;Card Issues
CASE-15268;2023-09-24;2023-09-24;2023-09-01;The chatbot answered all my questions perfectly, amazing!;positive;5;chatbot;1;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-26319;2022-12-15;2022-12-11;2022-12-01;The chatbot misunderstood my loan inquiry completely.;negative;2;chatbot;18;2;DETRACTOR;0;0;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-27044;2024-02-26;2024-02-25;2024-02-01;The chatbot helped me check my balance instantly, love it!;positive;4;chatbot;3;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;General Inquiry
CASE-20075;2022-04-28;2022-04-24;2022-04-01;The phone agent explained everything in a friendly way.;positive;4;email;98;4;PROMOTER;1;1;Grupo J,Grupo J;1;2;Grupo J;Transaction Error
CASE-17588;2022-02-05;2022-01-30;2022-02-01;Phone support made me feel confident about my banking.;positive;4;phone;5;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Card Issues
CASE-15305;2023-04-01;2023-03-26;2023-04-01;Email support was slow and didn’t solve anything.;negative;2;phone;52;2;DETRACTOR;0;0;Grupo D,Grupo F;2;2;Grupo F;Payment Issues
CASE-18245;2023-04-18;2023-04-16;2023-04-01;The chatbot was fast and accurate with my inquiry.;positive;4;chatbot;7;5;PROMOTER;1;1;Grupo G,Grupo D;2;2;Grupo D;Balance Inquiry
CASE-29921;2023-06-08;2023-06-04;2023-06-01;The phone agent walked me through everything step-by-step.;positive;5;phone;21;5;PROMOTER;1;1;Grupo D,Grupo C;2;2;Grupo C;Transaction Error
CASE-23630;2023-04-19;2023-04-16;2023-04-01;The email team solved my issue with a single reply.;positive;5;phone;16;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Fees Inquiry
CASE-25293;2024-05-24;2024-05-19;2024-05-01;The support team over the phone was incredibly helpful.;positive;5;email;121;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Payment Issues
CASE-24634;2024-03-05;2024-03-03;2024-03-01;The email team replied, but it was just okay.;neutral;3;email;1272;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Card Issues
CASE-18540;2022-12-04;2022-12-04;2022-12-01;The email response was spot on and very professional.;positive;5;email;86;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-19374;2024-11-30;2024-11-24;2024-11-01;The chatbot answered my loan question in seconds.;positive;4;phone;12;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Payment Issues
CASE-16891;2024-02-05;2024-02-04;2024-02-01;The chatbot explained my fees so clearly, I’m impressed!;positive;4;phone;7;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Loan Inquiry
CASE-26880;2023-02-15;2023-02-12;2023-02-01;The service was top-notch, I’m so happy with this bank!;positive;4;chatbot;3;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-28128;2023-09-02;2023-08-27;2023-09-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;4;email;241;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Payment Issues
CASE-28436;2022-09-09;2022-09-04;2022-09-01;The email response was thorough and polite.;positive;5;email;233;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-18616;2023-12-06;2023-12-03;2023-12-01;The chatbot kept looping with no solution.;negative;1;chatbot;16;2;DETRACTOR;0;1;Grupo E,Grupo D,Grupo J,Grupo A;4;4;Grupo A;Transaction Error
CASE-22161;2024-04-04;2024-03-31;2024-04-01;The chatbot was fine with my loan question.;neutral;3;chatbot;7;3;DETRACTOR;1;1;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-28798;2023-09-03;2023-09-03;2023-09-01;Phone support made me feel confident about my banking.;positive;5;email;176;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-28176;2022-04-07;2022-04-03;2022-04-01;Phone support was friendly and resolved my concern.;positive;4;email;206;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Loan Inquiry
CASE-26117;2023-08-22;2023-08-20;2023-08-01;The chatbot handled my balance inquiry like a pro.;positive;4;email;238;5;PROMOTER;1;1;Grupo H,Grupo E;2;2;Grupo E;Payment Issues
CASE-26861;2024-11-15;2024-11-10;2024-11-01;The email response was spot on and very professional.;positive;4;email;194;5;PROMOTER;1;0;Grupo B,Grupo H,Grupo H;2;3;Grupo H;Account Setup
CASE-16773;2023-08-16;2023-08-13;2023-08-01;The chatbot was quick to assist with my transfer request.;positive;5;chatbot;4;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-23886;2022-02-05;2022-01-30;2022-02-01;The phone representative was kind and fixed my issue right away.;positive;5;email;71;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-26351;2023-03-23;2023-03-19;2023-03-01;The chatbot made banking so convenient, I love it!;positive;5;phone;9;5;PROMOTER;1;1;Grupo C,Grupo G;2;2;Grupo G;Loan Inquiry
CASE-20408;2022-06-06;2022-06-05;2022-06-01;Great customer service, the phone representative was so polite!;positive;4;chatbot;5;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-21374;2024-10-08;2024-10-06;2024-10-01;Email support was okay, could be better.;neutral;3;email;900;4;PROMOTER;1;0;Grupo A,Grupo E;2;2;Grupo E;Account Setup
CASE-22678;2022-04-03;2022-04-03;2022-04-01;Super satisfied with the email response to my inquiry.;positive;4;email;149;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-20355;2025-02-05;2025-02-02;2025-02-01;The phone agent gave me conflicting information.;negative;2;chatbot;35;1;DETRACTOR;0;0;Grupo G,Grupo F;2;2;Grupo F;Card Issues
CASE-29093;2024-08-18;2024-08-18;2024-08-01;The chatbot assisted with my account setup smoothly.;positive;5;email;80;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Card Issues
CASE-15209;2024-05-17;2024-05-12;2024-05-01;The chatbot gave me accurate info about my account in seconds.;positive;4;chatbot;2;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-15402;2024-04-16;2024-04-14;2024-04-01;Email support was polite and answered all my questions.;positive;5;phone;15;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Payment Issues
CASE-17047;2022-07-18;2022-07-17;2022-07-01;The email team didn’t fix my login problem.;negative;1;email;4453;1;DETRACTOR;0;1;Grupo B,Grupo H,Grupo D;3;3;Grupo D;Transaction Error
CASE-25349;2024-05-12;2024-05-12;2024-05-01;The email team provided excellent service, I’m happy!;positive;4;email;110;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Account Setup
CASE-15524;2022-08-10;2022-08-07;2022-08-01;The call center staff was patient and resolved my payment issue.;positive;5;email;64;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-20038;2022-07-19;2022-07-17;2022-07-01;The chatbot gave me outdated info about my fees.;negative;2;phone;43;2;DETRACTOR;0;0;Grupo H,Grupo C,Grupo C;2;3;Grupo C;Payment Issues
CASE-22524;2022-10-08;2022-10-02;2022-10-01;I had a wonderful experience opening my account via phone.;positive;5;phone;11;4;PROMOTER;1;1;Grupo H,Grupo J;2;2;Grupo J;Fees Inquiry
CASE-17499;2023-12-29;2023-12-24;2023-12-01;The chatbot crashed when I asked about my loan.;negative;2;email;2997;1;DETRACTOR;0;0;Grupo C,Grupo G,Grupo H;3;3;Grupo H;Login Problems
CASE-28381;2022-09-16;2022-09-11;2022-09-01;The phone agent was impatient and rude.;negative;1;email;5316;1;DETRACTOR;0;0;Grupo F,Grupo B,Grupo G;3;3;Grupo G;Transaction Error
CASE-16424;2024-02-08;2024-02-04;2024-02-01;The chatbot explained my fees so clearly, I’m impressed!;positive;4;phone;16;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Account Setup
CASE-23710;2022-12-21;2022-12-18;2022-12-01;The email response was sloppy and unclear.;negative;2;email;3473;2;DETRACTOR;0;0;Grupo H,Grupo H,Grupo A,Grupo B,Grupo J;4;5;Grupo J;Balance Inquiry
CASE-22919;2022-12-10;2022-12-04;2022-12-01;The chatbot crashed when I asked about my loan.;negative;1;phone;56;2;DETRACTOR;0;0;Grupo D;1;1;Grupo D;Payment Issues
CASE-16979;2022-05-16;2022-05-15;2022-05-01;The chatbot answered my question, but it took a while.;neutral;3;phone;23;3;DETRACTOR;1;1;Grupo F,Grupo J,Grupo I;3;3;Grupo I;Balance Inquiry
CASE-16722;2024-08-04;2024-08-04;2024-08-01;Fantastic support over the phone, my issue was fixed in minutes.;positive;4;chatbot;5;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Fees Inquiry
CASE-21580;2024-12-31;2024-12-29;2024-12-01;The chatbot gave me nonsense answers all the time.;negative;1;email;3624;2;DETRACTOR;0;0;Grupo E,Grupo C,Grupo F;3;3;Grupo F;Payment Issues
CASE-15394;2025-02-14;2025-02-09;2025-02-01;The phone agent was so patient with my account setup.;positive;4;email;366;5;PROMOTER;1;1;Grupo F,Grupo E,Grupo C;3;3;Grupo C;Balance Inquiry
CASE-19890;2022-09-11;2022-09-11;2022-09-01;Email support was terrible, they ignored me.;negative;2;phone;62;1;DETRACTOR;0;1;Grupo E;1;1;Grupo E;Payment Issues
CASE-25675;2024-04-26;2024-04-21;2024-04-01;The chatbot couldn’t assist with my statement.;negative;2;phone;48;2;DETRACTOR;0;0;Grupo C,Grupo C,Grupo B;2;3;Grupo B;Login Problems
CASE-23206;2024-02-07;2024-02-04;2024-02-01;Email support was a complete letdown.;negative;2;email;7023;1;DETRACTOR;0;1;Grupo H,Grupo I,Grupo H,Grupo B;3;4;Grupo B;Payment Issues
CASE-27570;2022-06-20;2022-06-19;2022-06-01;The phone team wasted my time with no solution.;negative;2;phone;68;1;DETRACTOR;0;0;Grupo H,Grupo C,Grupo A,Grupo H;3;4;Grupo H;Login Problems
CASE-25867;2022-03-09;2022-03-06;2022-03-01;The email response was spot on and very professional.;positive;5;phone;8;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Login Problems
CASE-24478;2022-05-19;2022-05-15;2022-05-01;The chatbot kept crashing when I needed help.;negative;2;phone;95;2;DETRACTOR;0;0;Grupo G,Grupo H,Grupo A;3;3;Grupo A;Login Problems
CASE-17246;2024-01-07;2024-01-07;2024-01-01;The phone agent was unhelpful with my fees.;negative;1;chatbot;40;1;DETRACTOR;0;0;Grupo F,Grupo F,Grupo H;2;3;Grupo H;Login Problems
CASE-23552;2023-09-02;2023-08-27;2023-09-01;The phone team was alright, no big deal.;neutral;3;chatbot;13;4;PROMOTER;0;0;Grupo D,Grupo D;1;2;Grupo D;Balance Inquiry
CASE-16786;2023-03-23;2023-03-19;2023-03-01;The chatbot gave me wrong info about my account.;negative;1;chatbot;31;1;DETRACTOR;0;0;Grupo C,Grupo C,Grupo E,Grupo I;3;4;Grupo I;Fees Inquiry
CASE-27149;2024-06-07;2024-06-02;2024-06-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;5;chatbot;2;5;PROMOTER;1;1;Grupo G,Grupo C;2;2;Grupo C;Fees Inquiry
CASE-27134;2022-02-06;2022-02-06;2022-02-01;The chatbot was alright with my transfer query.;neutral;3;chatbot;11;3;DETRACTOR;0;0;Grupo F,Grupo C,Grupo D;3;3;Grupo D;Account Setup
CASE-20424;2024-04-12;2024-04-07;2024-04-01;I waited forever on the phone, and they didn’t help.;negative;2;chatbot;18;2;DETRACTOR;0;0;Grupo I,Grupo D;2;2;Grupo D;Card Issues
CASE-21837;2022-07-07;2022-07-03;2022-07-01;Phone support was rude and disconnected me.;negative;2;phone;51;1;DETRACTOR;0;0;Grupo C,Grupo J,Grupo B;3;3;Grupo B;Payment Issues
CASE-16009;2022-05-05;2022-05-01;2022-05-01;The phone team made banking so easy for me.;positive;4;email;138;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Account Setup
CASE-20262;2023-02-04;2023-01-29;2023-02-01;The phone team was slow and didn’t care.;negative;2;email;1868;1;DETRACTOR;0;0;Grupo A,Grupo F;2;2;Grupo F;Transaction Error
CASE-29320;2022-10-15;2022-10-09;2022-10-01;The email team didn’t fix my login problem.;negative;2;chatbot;30;2;DETRACTOR;0;0;Grupo H,Grupo C;2;2;Grupo C;Payment Issues
CASE-26578;2025-02-09;2025-02-09;2025-02-01;Phone support was the worst I’ve ever experienced.;negative;2;phone;64;1;DETRACTOR;0;0;Grupo B;1;1;Grupo B;General Inquiry
CASE-26397;2023-02-25;2023-02-19;2023-02-01;Email support was useless, they didn’t even try.;negative;2;phone;79;2;DETRACTOR;0;0;Grupo I,Grupo D;2;2;Grupo D;Fees Inquiry
CASE-28823;2024-01-29;2024-01-28;2024-01-01;The phone team didn’t solve my transfer problem.;negative;1;phone;46;2;DETRACTOR;0;0;Grupo I,Grupo E,Grupo D;3;3;Grupo D;General Inquiry
CASE-23734;2023-12-18;2023-12-17;2023-12-01;The email response was delayed and unhelpful.;negative;1;email;4434;2;DETRACTOR;0;0;Grupo H,Grupo G,Grupo C,Grupo F;4;4;Grupo F;Transaction Error
CASE-16897;2022-11-27;2022-11-27;2022-11-01;Phone support was average, met basic needs.;neutral;3;chatbot;16;4;PROMOTER;0;0;Grupo E,Grupo F;2;2;Grupo F;Loan Inquiry
CASE-26660;2023-11-30;2023-11-26;2023-11-01;The email team provided a clear and quick solution.;positive;4;email;78;4;PROMOTER;1;1;Grupo D,Grupo F;2;2;Grupo F;Balance Inquiry
CASE-17995;2024-05-22;2024-05-19;2024-05-01;The chatbot handled my balance inquiry like a pro.;positive;4;chatbot;5;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Payment Issues
CASE-16843;2023-12-18;2023-12-17;2023-12-01;The phone agent walked me through everything step-by-step.;positive;5;email;199;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Loan Inquiry
CASE-16752;2023-03-12;2023-03-12;2023-03-01;The email response was detailed and very helpful.;positive;4;chatbot;5;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-26661;2022-06-03;2022-05-29;2022-06-01;The chatbot answered my mortgage question accurately.;positive;5;phone;20;5;PROMOTER;1;0;Grupo E,Grupo E,Grupo G;2;3;Grupo G;Account Setup
CASE-21272;2022-09-23;2022-09-18;2022-09-01;The phone agent helped me with my rewards program.;positive;4;phone;14;4;PROMOTER;1;0;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-27168;2022-11-29;2022-11-27;2022-11-01;The phone service was awful, no one knew what to do.;negative;1;phone;34;1;DETRACTOR;0;1;Grupo F,Grupo E,Grupo G;3;3;Grupo G;Card Issues
CASE-29345;2024-04-10;2024-04-07;2024-04-01;The phone agent helped me set up alerts with ease.;positive;5;phone;14;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Fees Inquiry
CASE-29901;2022-07-14;2022-07-10;2022-07-01;Phone support was regular, solved my problem.;neutral;3;phone;39;4;PROMOTER;0;1;Grupo I,Grupo F;2;2;Grupo F;Transaction Error
CASE-23838;2022-03-20;2022-03-20;2022-03-01;The chatbot guided me through online banking setup flawlessly.;positive;4;chatbot;2;5;PROMOTER;1;1;Grupo B,Grupo A;2;2;Grupo A;General Inquiry
CASE-26358;2024-05-29;2024-05-26;2024-05-01;The chatbot gave me useless info about my card.;negative;1;email;4937;2;DETRACTOR;0;1;Grupo I,Grupo F,Grupo A,Grupo I;3;4;Grupo I;Transaction Error
CASE-22511;2024-07-17;2024-07-14;2024-07-01;The phone team was great at helping me with my card.;positive;4;chatbot;1;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-24535;2024-01-22;2024-01-21;2024-01-01;The phone team was great at helping me with my card.;positive;5;chatbot;4;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Card Issues
CASE-25660;2023-06-25;2023-06-25;2023-06-01;The email response was prompt and very clear.;positive;5;chatbot;1;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Account Setup
CASE-15479;2023-09-08;2023-09-03;2023-09-01;Email support ignored my complaint completely.;negative;2;chatbot;20;1;DETRACTOR;0;0;Grupo G,Grupo A,Grupo B,Grupo F;4;4;Grupo F;General Inquiry
CASE-29080;2023-10-07;2023-10-01;2023-10-01;Email support took a week to reply, ridiculous!;negative;1;email;1615;1;DETRACTOR;0;1;Grupo I,Grupo C,Grupo H;3;3;Grupo H;Fraud Report
CASE-19661;2022-12-05;2022-12-04;2022-12-01;Phone support was slow and didn’t fix my card issue.;negative;1;chatbot;19;2;DETRACTOR;0;0;Grupo F,Grupo H,Grupo G,Grupo F;3;4;Grupo F;Account Setup
CASE-15809;2024-11-15;2024-11-10;2024-11-01;The email response was vague and unhelpful.;negative;2;chatbot;39;1;DETRACTOR;0;1;Grupo I,Grupo G,Grupo D,Grupo D,Grupo E;4;5;Grupo E;Transaction Error
CASE-18343;2022-03-15;2022-03-13;2022-03-01;The phone team was slow and unprofessional.;negative;2;email;2876;2;DETRACTOR;0;0;Grupo I,Grupo J;2;2;Grupo J;Login Problems
CASE-15404;2023-05-11;2023-05-07;2023-05-01;The email response was detailed and very helpful.;positive;5;email;82;5;PROMOTER;1;1;Grupo D,Grupo A;2;2;Grupo A;Payment Issues
CASE-18486;2023-04-24;2023-04-23;2023-04-01;The chatbot was fine with my transfer issue.;neutral;3;phone;22;3;DETRACTOR;1;1;Grupo C,Grupo J,Grupo F;3;3;Grupo F;Payment Issues
CASE-21495;2022-05-08;2022-05-08;2022-05-01;The chatbot answered my loan query, but it was slow.;neutral;3;email;395;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Account Setup
CASE-21331;2023-03-05;2023-03-05;2023-03-01;The chatbot crashed when I tried to check my balance.;negative;2;chatbot;36;1;DETRACTOR;0;1;Grupo E,Grupo J,Grupo I;3;3;Grupo I;Loan Inquiry
CASE-29933;2023-01-01;2023-01-01;2023-01-01;I’m impressed with how fast my loan application was processed.;positive;5;phone;15;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-20053;2022-04-25;2022-04-24;2022-04-01;The chatbot explained my fees so clearly, I’m impressed!;positive;4;chatbot;6;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-26848;2025-02-08;2025-02-02;2025-02-01;Phone support was terrible, they wasted my time.;negative;1;email;5631;2;DETRACTOR;0;0;Grupo C,Grupo I,Grupo B,Grupo F;4;4;Grupo F;Card Issues
CASE-29585;2024-11-15;2024-11-10;2024-11-01;The phone team made banking so easy for me.;positive;5;chatbot;4;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Account Setup
CASE-24125;2024-09-30;2024-09-29;2024-09-01;The phone agent didn’t know basic banking info.;negative;1;phone;49;1;DETRACTOR;0;0;Grupo I,Grupo H,Grupo B;3;3;Grupo B;General Inquiry
CASE-16900;2024-07-13;2024-07-07;2024-07-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;5;phone;11;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-15521;2025-02-01;2025-01-26;2025-02-01;The email response was rude and dismissive.;negative;2;email;6092;2;DETRACTOR;0;0;Grupo E,Grupo G,Grupo J,Grupo G,Grupo G;3;5;Grupo G;Card Issues
CASE-25467;2022-05-19;2022-05-15;2022-05-01;The chatbot answered all my questions perfectly, amazing!;positive;4;chatbot;3;5;PROMOTER;1;1;Grupo A,Grupo E,Grupo J;3;3;Grupo J;Loan Inquiry
CASE-24367;2023-08-16;2023-08-13;2023-08-01;The email response was professional and to the point.;positive;4;chatbot;6;5;PROMOTER;1;1;Grupo I,Grupo D;2;2;Grupo D;Loan Inquiry
CASE-25347;2024-08-16;2024-08-11;2024-08-01;Email support was spot on, they fixed my login problem quickly.;positive;4;chatbot;5;4;PROMOTER;1;1;Grupo J,Grupo G;2;2;Grupo G;Login Problems
CASE-15177;2023-04-17;2023-04-16;2023-04-01;I had a wonderful experience opening my account via phone.;positive;4;phone;12;5;PROMOTER;1;0;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-26150;2024-10-14;2024-10-13;2024-10-01;The chatbot gave me useless info about my card.;negative;1;chatbot;42;1;DETRACTOR;0;0;Grupo I,Grupo H,Grupo A,Grupo B,Grupo B;4;5;Grupo B;Transaction Error
CASE-18089;2022-07-01;2022-06-26;2022-07-01;The phone team wasted my time with no solution.;negative;2;phone;30;2;DETRACTOR;1;0;Grupo E,Grupo A;2;2;Grupo A;Login Problems
CASE-15241;2022-08-16;2022-08-14;2022-08-01;The chatbot was fast and accurate with my inquiry.;positive;4;email;276;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Fees Inquiry
CASE-20500;2023-09-15;2023-09-10;2023-09-01;The chatbot helped me with my account balance quickly.;positive;5;email;195;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;General Inquiry
CASE-16137;2025-02-09;2025-02-09;2025-02-01;The chatbot assisted with my card, but it was slow.;neutral;3;chatbot;7;4;PROMOTER;1;0;Grupo A,Grupo I,Grupo A;2;3;Grupo A;Balance Inquiry
CASE-27810;2024-01-31;2024-01-28;2024-01-01;The chatbot was quick to assist with my payment query.;positive;5;phone;10;5;PROMOTER;1;1;Grupo A,Grupo C,Grupo D;3;3;Grupo D;Loan Inquiry
CASE-25996;2023-12-29;2023-12-24;2023-12-01;The chatbot couldn’t reset my PIN properly.;negative;1;phone;57;1;DETRACTOR;0;0;Grupo G;1;1;Grupo G;Fees Inquiry
CASE-19293;2022-10-06;2022-10-02;2022-10-01;I love how efficient the phone support was today!;positive;4;email;141;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Login Problems
CASE-26265;2024-07-22;2024-07-21;2024-07-01;Email support was okay, not very detailed.;neutral;3;chatbot;7;3;DETRACTOR;1;1;Grupo F;1;1;Grupo F;Payment Issues
CASE-16222;2022-11-28;2022-11-27;2022-11-01;The email team didn’t address my issue at all.;negative;2;phone;34;2;DETRACTOR;0;1;Grupo J,Grupo H,Grupo H;2;3;Grupo H;Login Problems
CASE-28158;2023-11-26;2023-11-26;2023-11-01;The chatbot answered my mortgage question accurately.;positive;4;phone;14;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
