case_id,date,start_of_week,start_of_month,translated_comments,sentiment,sentiment_rate,resolution_time_min,csat_rating_received,group_name_history,groups,total_groups,channel_email,channel_phone,classification_PROMOTER,resolved_in_sla_1,first_touch_resolution_1,csat_rated_group_name_Grupo B,csat_rated_group_name_Grupo C,csat_rated_group_name_Grupo D,csat_rated_group_name_Grupo E,csat_rated_group_name_Grupo F,csat_rated_group_name_Grupo G,csat_rated_group_name_Grupo H,csat_rated_group_name_Grupo I,csat_rated_group_name_Grupo J,issue_classification_Balance Inquiry,issue_classification_Card Issues,issue_classification_Fees Inquiry,issue_classification_Fraud Report,issue_classification_General Inquiry,issue_classification_Loan Inquiry,issue_classification_Login Problems,issue_classification_Payment Issues,issue_classification_Transaction Error,Key,Tipo_Outlier,Metodo_Seleccionado
CASE-27570,2022-06-20,2022-06-19,2022-06-01,The phone team wasted my time with no solution.,negative,2,68,1,"Grupo H,Grupo C,Grupo A,Grupo H",3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CASE-27570,Superior,MinCovDet
CASE-23734,2023-12-18,2023-12-17,2023-12-01,The email response was delayed and unhelpful.,negative,1,4434,2,"Grupo H,Grupo G,Grupo C,Grupo F",4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-23734,Superior,MinCovDet
CASE-26848,2025-02-08,2025-02-02,2025-02-01,"Phone support was terrible, they wasted my time.",negative,1,5631,2,"Grupo C,Grupo I,Grupo B,Grupo F",4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-26848,Superior,MinCovDet
CASE-15521,2025-02-01,2025-01-26,2025-02-01,The email response was rude and dismissive.,negative,2,6092,2,"Grupo E,Grupo G,Grupo J,Grupo G,Grupo G",3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CASE-15521,Superior,MinCovDet
CASE-26150,2024-10-14,2024-10-13,2024-10-01,The chatbot gave me useless info about my card.,negative,1,42,1,"Grupo I,Grupo H,Grupo A,Grupo B,Grupo B",4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-26150,Superior,MinCovDet
CASE-23169,2025-02-15,2025-02-09,2025-02-01,The email team took forever and didn’t help.,negative,2,3484,1,"Grupo A,Grupo A,Grupo I",2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,CASE-23169,Superior,MinCovDet
CASE-24792,2023-08-01,2023-07-30,2023-08-01,The phone team was slow and unprofessional.,negative,2,2037,1,"Grupo C,Grupo G,Grupo E",3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-24792,Superior,MinCovDet
CASE-29696,2023-07-20,2023-07-16,2023-07-01,The chatbot couldn’t handle my payment issue.,negative,1,2275,1,"Grupo I,Grupo D,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,CASE-29696,Superior,MinCovDet
CASE-22947,2023-07-21,2023-07-16,2023-07-01,The email team took too long to fix my login issue.,negative,1,5590,1,"Grupo E,Grupo B,Grupo H,Grupo J,Grupo D",5,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-22947,Superior,MinCovDet
CASE-21726,2022-10-30,2022-10-30,2022-10-01,The chatbot couldn’t reset my PIN properly.,negative,2,5675,1,"Grupo E,Grupo H",2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,CASE-21726,Superior,MinCovDet
CASE-27604,2024-07-18,2024-07-14,2024-07-01,Email support didn’t bother to read my email.,negative,2,6943,1,"Grupo C,Grupo F,Grupo E",3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-27604,Superior,MinCovDet
CASE-29287,2023-10-25,2023-10-22,2023-10-01,The phone team was slow and didn’t care.,negative,2,129,1,"Grupo E,Grupo I,Grupo I,Grupo G,Grupo H",4,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CASE-29287,Superior,MinCovDet
CASE-28166,2023-09-21,2023-09-17,2023-09-01,"Phone support was a nightmare, no help at all.",negative,1,4072,2,"Grupo H,Grupo F,Grupo G",3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-28166,Superior,MinCovDet
CASE-25638,2022-10-29,2022-10-23,2022-10-01,The phone team wasted my time with no solution.,negative,2,4202,2,"Grupo J,Grupo J,Grupo J,Grupo A",2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-25638,Superior,MinCovDet
CASE-25640,2022-08-31,2022-08-28,2022-08-01,The chatbot couldn’t handle my payment issue.,negative,2,2480,1,"Grupo C,Grupo H,Grupo H,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-25640,Superior,MinCovDet
CASE-17118,2025-02-26,2025-02-23,2025-02-01,The email team didn’t address my issue at all.,negative,1,6190,1,"Grupo A,Grupo D,Grupo C",3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-17118,Superior,MinCovDet
CASE-21407,2022-05-05,2022-05-01,2022-05-01,The phone agent was impatient and rude.,negative,2,3570,1,"Grupo E,Grupo G",2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-21407,Superior,MinCovDet
CASE-27985,2023-04-02,2023-04-02,2023-04-01,The phone team wasted my time with no solution.,negative,1,4311,2,"Grupo G,Grupo J,Grupo I,Grupo A",4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-27985,Superior,MinCovDet
CASE-24157,2024-07-31,2024-07-28,2024-07-01,The chatbot couldn’t handle my simple question.,negative,2,2023,2,"Grupo A,Grupo B,Grupo A,Grupo B",2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-24157,Superior,MinCovDet
CASE-27456,2023-03-18,2023-03-12,2023-03-01,The chatbot gave me useless info about my card.,negative,1,1597,1,"Grupo C,Grupo D,Grupo E,Grupo F",4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-27456,Superior,MinCovDet
CASE-23709,2024-05-31,2024-05-26,2024-05-01,The phone agent was unhelpful with my fees.,negative,2,7060,1,"Grupo G,Grupo H,Grupo G,Grupo I",3,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,CASE-23709,Superior,MinCovDet
CASE-20461,2024-12-16,2024-12-15,2024-12-01,The chatbot crashed when I asked about my loan.,negative,2,2982,1,"Grupo J,Grupo H,Grupo B",3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CASE-20461,Superior,MinCovDet
CASE-24942,2023-10-15,2023-10-15,2023-10-01,The phone agent was rude and didn’t solve my issue.,negative,1,3605,1,"Grupo J,Grupo I,Grupo D",3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-24942,Superior,MinCovDet
CASE-27998,2022-04-29,2022-04-24,2022-04-01,The email response was generic and useless.,negative,1,47,1,"Grupo B,Grupo A,Grupo I,Grupo A",3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-27998,Superior,MinCovDet
CASE-21927,2024-09-10,2024-09-08,2024-09-01,The phone agent was clueless about my account.,negative,2,3058,1,"Grupo A,Grupo J,Grupo D,Grupo I,Grupo A",4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-21927,Superior,MinCovDet
CASE-26966,2023-01-28,2023-01-22,2023-01-01,The chatbot gave me wrong info about my account.,negative,2,103,1,"Grupo H,Grupo B,Grupo E,Grupo A",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-26966,Superior,MinCovDet
CASE-29844,2022-09-21,2022-09-18,2022-09-01,Phone support was slow and didn’t fix my card issue.,negative,1,7647,2,"Grupo I,Grupo C,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-29844,Superior,MinCovDet
CASE-22533,2024-11-29,2024-11-24,2024-11-01,The chatbot gave me outdated info about my fees.,negative,1,5268,1,"Grupo A,Grupo G,Grupo B",3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-22533,Superior,MinCovDet
CASE-16935,2024-10-23,2024-10-20,2024-10-01,"I waited on hold for an hour, this is unacceptable.",negative,2,6670,2,"Grupo J,Grupo J,Grupo C",2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-16935,Superior,MinCovDet
CASE-18037,2023-10-19,2023-10-15,2023-10-01,The chatbot couldn’t reset my PIN properly.,negative,1,91,1,"Grupo A,Grupo G,Grupo F,Grupo E,Grupo D",5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-18037,Superior,MinCovDet
CASE-15676,2022-11-01,2022-10-30,2022-11-01,Email support didn’t even try to fix my issue.,negative,2,7809,1,"Grupo J,Grupo A,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-15676,Superior,MinCovDet
CASE-24347,2025-01-14,2025-01-12,2025-01-01,Email support didn’t even read my message properly.,negative,1,3162,1,"Grupo B,Grupo D,Grupo H,Grupo H",3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-24347,Superior,MinCovDet
CASE-26901,2023-08-11,2023-08-06,2023-08-01,The email response was delayed and unhelpful.,negative,1,78,1,"Grupo I,Grupo I,Grupo I,Grupo C",2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-26901,Superior,MinCovDet
CASE-29896,2023-12-18,2023-12-17,2023-12-01,The chatbot kept looping with no solution.,negative,1,90,1,"Grupo H,Grupo G,Grupo D,Grupo F",4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-29896,Superior,MinCovDet
CASE-27556,2022-04-10,2022-04-10,2022-04-01,The email team didn’t care about my problem.,negative,2,4170,1,"Grupo G,Grupo E,Grupo G",2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-27556,Superior,MinCovDet
CASE-20380,2022-10-20,2022-10-16,2022-10-01,The chatbot failed to assist with my rewards query.,negative,1,3055,1,"Grupo F,Grupo A,Grupo B,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-20380,Superior,MinCovDet
CASE-18814,2023-07-09,2023-07-09,2023-07-01,"Phone support was terrible, they wasted my time.",negative,1,5806,2,"Grupo E,Grupo I,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-18814,Superior,MinCovDet
CASE-16005,2023-10-30,2023-10-29,2023-10-01,The chatbot couldn’t help with my card replacement.,negative,2,2006,1,"Grupo C,Grupo E,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,CASE-16005,Superior,MinCovDet
CASE-25664,2024-07-17,2024-07-14,2024-07-01,The email response was vague and unhelpful.,negative,2,5190,2,"Grupo F,Grupo G,Grupo B",3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-25664,Superior,MinCovDet
CASE-16520,2024-06-08,2024-06-02,2024-06-01,The chatbot couldn’t assist with my statement.,negative,1,5183,2,"Grupo E,Grupo B,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-16520,Superior,MinCovDet
CASE-21995,2024-06-07,2024-06-02,2024-06-01,The phone agent hung up on me mid-conversation.,negative,1,5255,2,"Grupo H,Grupo J,Grupo D",3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-21995,Superior,MinCovDet
CASE-26877,2023-07-17,2023-07-16,2023-07-01,The chatbot gave me incorrect balance info.,negative,2,2253,1,"Grupo H,Grupo B,Grupo I",3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,CASE-26877,Superior,MinCovDet
CASE-26539,2024-07-25,2024-07-21,2024-07-01,The chatbot failed to help with my balance inquiry.,negative,2,3519,1,"Grupo F,Grupo B,Grupo B,Grupo J",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CASE-26539,Superior,MinCovDet
CASE-27881,2024-05-03,2024-04-28,2024-05-01,The chatbot misunderstood my loan inquiry completely.,negative,2,3612,1,"Grupo C,Grupo D,Grupo G,Grupo G",3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-27881,Superior,MinCovDet
CASE-22254,2025-01-24,2025-01-19,2025-01-01,The email response was late and full of errors.,negative,2,4824,2,"Grupo F,Grupo J",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,CASE-22254,Superior,MinCovDet
CASE-18544,2024-01-15,2024-01-14,2024-01-01,The chatbot couldn’t assist with my statement.,negative,1,7722,2,"Grupo I,Grupo A,Grupo A,Grupo I,Grupo A",2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CASE-18544,Superior,MinCovDet
CASE-27136,2022-12-08,2022-12-04,2022-12-01,"Phone support was a nightmare, no help at all.",negative,1,5814,2,"Grupo A,Grupo A,Grupo G",2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-27136,Superior,MinCovDet
CASE-20671,2024-07-05,2024-06-30,2024-07-01,"I waited on hold for an hour, this is unacceptable.",negative,2,47,1,"Grupo E,Grupo H,Grupo H,Grupo F",3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-20671,Superior,MinCovDet
CASE-23554,2023-01-14,2023-01-08,2023-01-01,The phone agent was unhelpful with my fees.,negative,2,99,2,"Grupo A,Grupo G,Grupo A,Grupo B,Grupo H",4,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,CASE-23554,Superior,MinCovDet
CASE-19237,2023-11-30,2023-11-26,2023-11-01,The phone agent didn’t understand my issue.,negative,1,3985,2,"Grupo C,Grupo J,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,CASE-19237,Superior,MinCovDet
CASE-19378,2024-07-29,2024-07-28,2024-07-01,"I waited forever on the phone, and they didn’t help.",negative,1,39,1,"Grupo H,Grupo C,Grupo C,Grupo C,Grupo B",3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CASE-19378,Superior,MinCovDet
CASE-19341,2023-03-09,2023-03-05,2023-03-01,Email support was rude and unprofessional.,negative,1,27,1,"Grupo F,Grupo G,Grupo H,Grupo B,Grupo F",4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-19341,Superior,MinCovDet
CASE-21946,2022-12-26,2022-12-25,2022-12-01,The email response was rude and incomplete.,negative,1,6399,2,"Grupo E,Grupo G,Grupo G",2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,CASE-21946,Superior,MinCovDet
CASE-23376,2023-12-14,2023-12-10,2023-12-01,The chatbot failed to assist with my rewards query.,negative,2,5720,2,"Grupo I,Grupo H,Grupo J",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,CASE-23376,Superior,MinCovDet
CASE-15378,2024-07-25,2024-07-21,2024-07-01,The email response was rude and incomplete.,negative,2,71,1,"Grupo A,Grupo E,Grupo E,Grupo F",3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-15378,Superior,MinCovDet
CASE-29775,2022-07-18,2022-07-17,2022-07-01,The chatbot crashed during my payment request.,negative,1,4005,2,"Grupo J,Grupo E,Grupo D,Grupo G",4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CASE-29775,Superior,MinCovDet
CASE-24917,2022-01-30,2022-01-30,2022-01-01,The phone agent was rude and didn’t solve my issue.,negative,1,4950,2,"Grupo F,Grupo A,Grupo J",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,CASE-24917,Superior,MinCovDet
CASE-28904,2023-05-05,2023-04-30,2023-05-01,The phone team was incompetent and slow.,negative,2,3829,1,"Grupo G,Grupo E,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CASE-28904,Superior,MinCovDet
CASE-27565,2024-12-18,2024-12-15,2024-12-01,Email support didn’t even try to fix my issue.,negative,2,5278,1,"Grupo F,Grupo E,Grupo A",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CASE-27565,Superior,MinCovDet
CASE-21484,2024-08-19,2024-08-18,2024-08-01,The phone agent gave me conflicting information.,negative,1,9191,1,"Grupo F,Grupo F,Grupo B,Grupo C,Grupo J",4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CASE-21484,Superior,MinCovDet
CASE-20933,2024-05-10,2024-05-05,2024-05-01,The chatbot crashed during my payment request.,negative,1,4324,1,"Grupo C,Grupo B,Grupo J",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CASE-20933,Superior,MinCovDet
CASE-29382,2024-08-07,2024-08-04,2024-08-01,The phone agent gave me conflicting information.,negative,2,6913,1,"Grupo C,Grupo I,Grupo C",2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CASE-29382,Superior,MinCovDet
CASE-28248,2023-12-24,2023-12-24,2023-12-01,The phone agent didn’t understand my issue.,negative,1,26,1,"Grupo J,Grupo B,Grupo J,Grupo F,Grupo A",4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-28248,Superior,MinCovDet
CASE-21843,2022-07-24,2022-07-24,2022-07-01,The phone team was slow and unprofessional.,negative,2,8058,1,"Grupo A,Grupo A,Grupo F,Grupo G",3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,CASE-21843,Superior,MinCovDet
CASE-27649,2022-07-08,2022-07-03,2022-07-01,The phone team was unprofessional and unhelpful.,negative,1,2139,1,"Grupo G,Grupo B,Grupo J,Grupo B",3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-27649,Superior,MinCovDet
CASE-20639,2024-02-24,2024-02-18,2024-02-01,The chatbot kept looping with no solution.,negative,1,3198,2,"Grupo D,Grupo J,Grupo E,Grupo J,Grupo F",4,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CASE-20639,Superior,MinCovDet
CASE-24534,2023-11-30,2023-11-26,2023-11-01,The chatbot failed to process my savings request.,negative,2,64,1,"Grupo E,Grupo C,Grupo J,Grupo I",4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,CASE-24534,Superior,MinCovDet
CASE-20922,2023-10-08,2023-10-08,2023-10-01,The chatbot failed to help with my account setup.,negative,2,4420,1,"Grupo C,Grupo F,Grupo A,Grupo D",4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-20922,Superior,MinCovDet
CASE-28947,2022-10-15,2022-10-09,2022-10-01,The chatbot gave me outdated info about my fees.,negative,2,5285,1,"Grupo I,Grupo J",2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,CASE-28947,Superior,MinCovDet
CASE-20491,2024-02-12,2024-02-11,2024-02-01,"The service was slow, and my issue is still unresolved.",negative,2,105,2,"Grupo J,Grupo B,Grupo I,Grupo G,Grupo E",5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-20491,Superior,MinCovDet
CASE-27094,2022-08-30,2022-08-28,2022-08-01,The chatbot couldn’t help with my card replacement.,negative,2,5078,1,Grupo G,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,CASE-27094,Superior,MinCovDet
CASE-22167,2023-07-07,2023-07-02,2023-07-01,The chatbot crashed when I asked about my loan.,negative,2,48,1,"Grupo E,Grupo A,Grupo C,Grupo F",4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-22167,Superior,MinCovDet
CASE-18516,2024-04-30,2024-04-28,2024-04-01,The chatbot couldn’t handle my simple question.,negative,2,4210,2,"Grupo F,Grupo C,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,CASE-18516,Superior,MinCovDet
CASE-24666,2024-09-17,2024-09-15,2024-09-01,The phone agent was rude and didn’t solve my issue.,negative,2,5022,1,"Grupo H,Grupo H,Grupo D",2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CASE-24666,Superior,MinCovDet
CASE-19567,2024-12-15,2024-12-15,2024-12-01,The chatbot couldn’t reset my PIN properly.,negative,1,1644,1,"Grupo E,Grupo B,Grupo D,Grupo J,Grupo H",5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CASE-19567,Superior,MinCovDet
CASE-27067,2024-01-02,2023-12-31,2024-01-01,"Phone support was a nightmare, no help at all.",negative,2,3808,1,"Grupo J,Grupo J,Grupo D",2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-27067,Superior,MinCovDet
CASE-24154,2022-08-01,2022-07-31,2022-08-01,Email support was rude and unprofessional.,negative,2,5959,1,"Grupo F,Grupo C,Grupo E,Grupo E,Grupo H",4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,CASE-24154,Superior,MinCovDet
CASE-20487,2024-04-04,2024-03-31,2024-04-01,Phone support was slow and didn’t fix my card issue.,negative,2,3048,1,"Grupo C,Grupo H,Grupo F",3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-20487,Superior,MinCovDet
CASE-22091,2022-11-03,2022-10-30,2022-11-01,The phone representative was unhelpful and impatient.,negative,2,4077,1,"Grupo E,Grupo A,Grupo D,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CASE-22091,Superior,MinCovDet
CASE-20091,2024-12-27,2024-12-22,2024-12-01,The phone agent didn’t even try to assist me.,negative,1,5316,1,"Grupo I,Grupo E,Grupo J,Grupo G",4,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CASE-20091,Superior,MinCovDet
