survey_id,employee_id,survey_date,satisfaction_score,response
177,2000,2019-11-21,4,The company culture is outstanding. Management really listens to our feedback.
178,1143,2022-02-20,4,Our department has fantastic leadership and clear communication channels.
179,1844,2024-07-13,4,excellent benefits and compensation package. I feel well rewarded for my work.
180,1047,2024-12-18,3,average satisfaction with my current role and responsibilities.
181,1439,2023-09-08,3,"The team dynamics are fine, but we could use more collaboration."
182,1192,2016-05-13,4,Our department has outstanding leadership and clear communication channels.
183,1657,2025-04-06,4,wonderful benefits and compensation package. I feel well rewarded for my work.
184,1684,2022-11-03,5,The company culture is fantastic. Management really acts on to our feedback.
185,1907,2023-04-01,5,I feel valued in my position. The work-life balance is exceptional.
186,1124,2019-03-07,3,"The team dynamics are alright, but we could use more collaboration."
187,1553,2024-06-10,4,I'm very satisfied with my role. The team is encouraging and provides excellent opportunities.
188,1014,2025-02-05,5,exceptional benefits and compensation package. I feel well rewarded for my work.
189,1441,2021-06-07,5,I'm very satisfied with my role. The team is encouraging and provides exceptional opportunities.
190,1525,2024-02-28,5,I feel respected in my position. The work-life balance is superior.
191,1452,2021-02-27,3,"The team dynamics are alright, but we could use more collaboration."
192,1505,2024-10-10,5,The office culture is excellent. Management really listens to our feedback.
193,1887,2024-12-19,5,superior benefits and compensation package. I feel well rewarded for my work.
194,1846,2023-06-01,5,Our department has fantastic leadership and clear communication channels.
195,1031,2025-02-21,5,I feel respected in my position. The work-life balance is excellent.
196,1806,2024-03-31,3,"Work-life balance is satisfactory, though there's room for improvement."
197,1762,2022-03-03,5,Our department has outstanding leadership and clear communication channels.
198,1661,2023-01-31,1,Company culture needs significant improvement. Morale is low.
199,1986,2025-04-27,4,exceptional benefits and compensation package. I feel well rewarded for my work.
200,1525,2022-03-19,4,The work environment culture is outstanding. Management really acts on to our feedback.
201,1842,2023-12-30,5,The work environment culture is outstanding. Management really listens to our feedback.
202,1173,2024-02-02,4,Our department has fantastic leadership and clear communication channels.
203,1375,2018-11-06,5,The work environment culture is excellent. Management really responds to our feedback.
204,1438,2024-06-17,5,excellent benefits and compensation package. I feel well rewarded for my work.
205,1652,2023-06-27,2,Work-life balance is awful. Too many overtime hours required.
206,1171,2018-11-27,5,Our department has excellent leadership and clear communication channels.
207,1540,2023-04-07,4,Our department has fantastic leadership and clear communication channels.
208,1732,2024-11-19,4,I'm very satisfied with my role. The team is helpful and provides superior opportunities.
209,1826,2017-05-23,5,I'm very satisfied with my role. The unit is encouraging and provides wonderful opportunities.
210,1870,2019-09-07,1,Feeling overwhelmed and stressed due to high workload.
211,1300,2024-02-14,5,I'm very satisfied with my role. The department is collaborative and provides exceptional opportunities.
212,1794,2023-08-02,5,The office culture is excellent. Management really considers to our feedback.
213,1107,2022-09-01,5,Our department has outstanding leadership and clear communication channels.
214,1841,2024-01-05,5,exceptional benefits and compensation package. I feel well rewarded for my work.
215,1389,2017-10-01,5,Our department has outstanding leadership and clear communication channels.
216,1101,2019-07-30,4,I'm very satisfied with my role. The group is collaborative and provides superior opportunities.
217,1573,2021-11-23,5,I feel recognized in my position. The work-life balance is superior.
218,1333,2017-09-27,3,typical satisfaction with my current role and responsibilities.
219,1982,2024-12-10,4,exceptional benefits and compensation package. I feel well rewarded for my work.
220,1457,2021-09-20,5,I'm very satisfied with my role. The department is helpful and provides excellent opportunities.
221,1791,2024-08-31,3,"Management is acceptable, but communication could be improved."
222,1750,2025-01-08,2,Limited growth opportunities and insufficient communication from management.
223,1557,2024-09-02,4,I'm very satisfied with my role. The group is helpful and provides excellent opportunities.
224,1836,2024-07-02,2,Company culture needs significant improvement. Morale is poor.
225,1453,2022-03-16,5,excellent benefits and compensation package. I feel well rewarded for my work.
226,1012,2024-08-05,4,excellent benefits and compensation package. I feel well rewarded for my work.
227,1171,2019-09-10,5,exceptional benefits and compensation package. I feel well rewarded for my work.
228,1263,2024-06-24,1,Limited growth opportunities and insufficient communication from management.
229,1250,2022-07-11,4,Our department has outstanding leadership and clear communication channels.
230,1760,2019-10-27,4,exceptional benefits and compensation package. I feel well rewarded for my work.
231,1999,2023-08-09,3,"The team dynamics are fine, but we could use more collaboration."
232,1417,2023-04-26,4,wonderful benefits and compensation package. I feel well rewarded for my work.
233,1946,2024-11-23,1,Company culture needs significant improvement. Morale is concerning.
234,1776,2019-04-04,2,Feeling overworked and pressured due to high workload.
235,1016,2021-10-07,4,I feel respected in my position. The work-life balance is excellent.
236,1303,2024-10-11,1,Company culture needs significant improvement. Morale is declining.
237,1211,2022-11-29,5,Our department has excellent leadership and clear communication channels.
238,1872,2020-07-29,5,I'm very satisfied with my role. The department is encouraging and provides excellent opportunities.
239,1358,2023-02-26,5,Our department has fantastic leadership and clear communication channels.
240,1425,2022-08-02,4,Our department has outstanding leadership and clear communication channels.
241,1782,2025-02-19,5,Our department has great leadership and clear communication channels.
242,1051,2024-12-05,2,insufficient support and resources to perform effectively.
243,1967,2023-05-19,5,I feel valued in my position. The work-life balance is superior.
244,1562,2021-10-17,4,excellent benefits and compensation package. I feel well rewarded for my work.
245,1557,2025-01-18,4,I'm very satisfied with my role. The unit is collaborative and provides excellent opportunities.
246,1039,2022-11-30,3,"Management is fair, but communication could be improved."
247,1096,2020-03-09,3,typical satisfaction with my current role and responsibilities.
248,1894,2025-02-16,5,I feel recognized in my position. The work-life balance is superior.
249,1016,2024-06-02,4,I'm very satisfied with my role. The department is supportive and provides superior opportunities.
250,1220,2023-06-27,5,Our department has great leadership and clear communication channels.
251,1047,2024-09-15,5,Our department has fantastic leadership and clear communication channels.
252,1306,2023-04-30,4,Our department has outstanding leadership and clear communication channels.
253,1183,2023-11-25,3,The work environment is reasonable. Some processes could be more efficient.
254,1982,2023-09-05,2,poor support and resources to perform effectively.
255,1499,2024-02-08,4,I'm very satisfied with my role. The unit is helpful and provides superior opportunities.
256,1940,2020-02-24,5,wonderful benefits and compensation package. I feel well rewarded for my work.
257,1101,2018-08-23,5,I feel respected in my position. The work-life balance is wonderful.
258,1361,2024-06-30,3,"Management is fair, but communication could be improved."
259,1802,2025-02-23,4,Our department has fantastic leadership and clear communication channels.
260,1853,2023-04-26,4,Our department has fantastic leadership and clear communication channels.
261,1107,2023-10-04,5,I feel recognized in my position. The work-life balance is exceptional.
262,1479,2024-11-23,5,Our department has excellent leadership and clear communication channels.
263,1417,2021-04-10,5,Our department has excellent leadership and clear communication channels.
264,1518,2025-02-09,2,Limited growth opportunities and lacking communication from management.
265,1076,2025-03-05,3,"Work-life balance is acceptable, though there's room for improvement."
266,1286,2020-08-12,5,I feel respected in my position. The work-life balance is excellent.
267,1198,2017-12-06,4,I feel recognized in my position. The work-life balance is exceptional.
268,1794,2024-05-17,5,I'm very satisfied with my role. The team is helpful and provides exceptional opportunities.
269,1386,2020-03-24,5,I'm very satisfied with my role. The group is supportive and provides excellent opportunities.
270,1488,2020-10-05,4,I feel respected in my position. The work-life balance is excellent.
271,1620,2024-04-15,4,Our department has fantastic leadership and clear communication channels.
272,1294,2022-07-02,4,The workplace culture is great. Management really responds to our feedback.
273,1638,2019-06-25,3,"Work-life balance is tolerable, though there's room for improvement."
274,1760,2019-07-03,5,excellent benefits and compensation package. I feel well rewarded for my work.
275,1427,2025-03-24,3,"The team dynamics are fine, but we could use more collaboration."
276,1990,2021-04-15,4,The company culture is excellent. Management really listens to our feedback.
277,1053,2025-05-05,5,I'm very satisfied with my role. The group is collaborative and provides exceptional opportunities.
278,1647,2024-10-26,4,I feel valued in my position. The work-life balance is wonderful.
279,1951,2024-02-19,3,"Management is acceptable, but communication could be improved."
280,1861,2024-09-10,4,Our department has great leadership and clear communication channels.
281,1406,2025-01-14,3,"Management is fair, but communication could be improved."
282,1956,2024-10-27,3,"Work-life balance is acceptable, though there's room for improvement."
283,1283,2020-02-18,5,I'm very satisfied with my role. The department is supportive and provides superior opportunities.
284,1995,2023-09-17,5,excellent benefits and compensation package. I feel well rewarded for my work.
285,1829,2024-12-20,5,The workplace culture is outstanding. Management really responds to our feedback.
286,1973,2022-05-23,5,The company culture is excellent. Management really considers to our feedback.
287,1425,2022-12-20,5,I'm very satisfied with my role. The department is helpful and provides exceptional opportunities.
288,1089,2023-10-08,4,I'm very satisfied with my role. The department is helpful and provides superior opportunities.
289,1634,2024-12-23,4,Our department has great leadership and clear communication channels.
290,1227,2022-10-23,4,wonderful benefits and compensation package. I feel well rewarded for my work.
291,1925,2025-04-09,4,Our department has fantastic leadership and clear communication channels.
292,1670,2025-03-07,3,moderate satisfaction with my current role and responsibilities.
293,1759,2022-07-13,4,I'm very satisfied with my role. The department is collaborative and provides superior opportunities.
294,1419,2024-03-01,3,The work environment is satisfactory. Some processes could be more efficient.
295,1824,2022-09-12,1,Company culture needs significant improvement. Morale is low.
296,1352,2024-03-30,4,I'm very satisfied with my role. The team is supportive and provides wonderful opportunities.
297,1894,2025-03-27,3,"The team dynamics are standard, but we could use more collaboration."
298,1401,2025-05-01,4,I feel respected in my position. The work-life balance is superior.
299,1481,2025-01-25,5,Our department has fantastic leadership and clear communication channels.
300,1531,2022-09-08,5,Our department has outstanding leadership and clear communication channels.
301,1561,2023-08-18,3,The work environment is reasonable. Some processes could be more efficient.
302,1782,2025-02-27,3,typical satisfaction with my current role and responsibilities.
303,1396,2021-05-09,5,I feel appreciated in my position. The work-life balance is excellent.
304,1318,2017-08-30,4,Our department has great leadership and clear communication channels.
305,1723,2021-10-25,3,"The team dynamics are alright, but we could use more collaboration."
306,1550,2019-05-10,4,I feel appreciated in my position. The work-life balance is wonderful.
307,1686,2015-10-18,5,excellent benefits and compensation package. I feel well rewarded for my work.
308,1104,2023-08-09,5,The work environment culture is great. Management really acts on to our feedback.
309,1566,2024-12-06,4,superior benefits and compensation package. I feel well rewarded for my work.
310,1114,2024-09-05,5,I feel respected in my position. The work-life balance is wonderful.
311,1745,2024-07-12,5,exceptional benefits and compensation package. I feel well rewarded for my work.
312,1910,2019-09-09,2,Company culture needs significant improvement. Morale is low.
313,1708,2022-11-25,3,The work environment is reasonable. Some processes could be more efficient.
314,1667,2019-02-10,5,The company culture is fantastic. Management really acts on to our feedback.
315,1054,2023-04-13,3,moderate satisfaction with my current role and responsibilities.
316,1028,2022-09-02,1,Feeling overwhelmed and anxious due to high workload.
317,1565,2024-05-10,4,excellent benefits and compensation package. I feel well rewarded for my work.
318,1778,2025-01-27,3,moderate satisfaction with my current role and responsibilities.
319,1973,2022-10-05,1,Company culture needs significant improvement. Morale is poor.
320,1583,2023-03-31,4,Our department has excellent leadership and clear communication channels.
321,1650,2022-08-23,2,Work-life balance is unacceptable. Too many overtime hours required.
322,1405,2024-09-26,4,I feel appreciated in my position. The work-life balance is exceptional.
323,1094,2020-07-19,4,Our department has fantastic leadership and clear communication channels.
324,1005,2018-12-29,4,I feel recognized in my position. The work-life balance is wonderful.
325,1348,2021-08-19,5,excellent benefits and compensation package. I feel well rewarded for my work.
326,1352,2025-02-27,5,I feel valued in my position. The work-life balance is wonderful.
327,1972,2024-12-10,1,Company culture needs significant improvement. Morale is declining.
328,1834,2025-02-13,3,"Work-life balance is tolerable, though there's room for improvement."
329,1436,2021-06-04,4,I'm very satisfied with my role. The team is helpful and provides superior opportunities.
330,1535,2023-01-08,4,I'm very satisfied with my role. The team is collaborative and provides superior opportunities.
331,1487,2020-01-01,5,I'm very satisfied with my role. The department is collaborative and provides excellent opportunities.
332,1648,2023-08-14,1,lacking support and resources to perform effectively.
333,1338,2018-03-08,4,The work environment culture is great. Management really considers to our feedback.
334,1400,2025-03-07,3,"Management is decent, but communication could be improved."
335,1250,2024-05-27,4,I feel respected in my position. The work-life balance is exceptional.
336,1350,2023-05-29,4,I feel respected in my position. The work-life balance is excellent.
337,1538,2021-05-22,5,wonderful benefits and compensation package. I feel well rewarded for my work.
338,1183,2023-06-23,4,I'm very satisfied with my role. The team is supportive and provides exceptional opportunities.
339,1831,2019-05-28,5,I feel recognized in my position. The work-life balance is wonderful.
340,1842,2024-10-23,4,exceptional benefits and compensation package. I feel well rewarded for my work.
341,1018,2018-03-18,3,"Management is fair, but communication could be improved."
342,1600,2023-12-07,5,Our department has great leadership and clear communication channels.
343,1973,2023-05-02,5,I feel respected in my position. The work-life balance is wonderful.
344,1754,2025-03-30,5,The work environment culture is great. Management really listens to our feedback.
345,1527,2020-02-02,5,excellent benefits and compensation package. I feel well rewarded for my work.
346,1262,2023-05-31,4,The office culture is fantastic. Management really considers to our feedback.
347,1537,2024-09-29,5,I'm very satisfied with my role. The team is collaborative and provides superior opportunities.
348,1106,2021-11-26,3,"Management is fair, but communication could be improved."
349,1808,2024-06-04,4,The workplace culture is fantastic. Management really listens to our feedback.
350,1674,2023-02-06,4,I'm very satisfied with my role. The department is collaborative and provides wonderful opportunities.
351,1230,2019-08-01,5,Our department has great leadership and clear communication channels.
352,1169,2021-10-05,3,The work environment is adequate. Some processes could be more efficient.
353,1802,2021-11-09,3,The work environment is adequate. Some processes could be more efficient.
354,1979,2021-05-24,4,I'm very satisfied with my role. The department is helpful and provides exceptional opportunities.
355,1635,2023-06-02,4,I'm very satisfied with my role. The team is encouraging and provides excellent opportunities.
356,1968,2025-01-16,5,exceptional benefits and compensation package. I feel well rewarded for my work.
357,1891,2024-06-09,5,Our department has fantastic leadership and clear communication channels.
358,1405,2021-11-08,3,"Work-life balance is acceptable, though there's room for improvement."
359,1164,2023-10-25,4,wonderful benefits and compensation package. I feel well rewarded for my work.
360,1455,2024-10-12,3,The work environment is adequate. Some processes could be more efficient.
361,1894,2025-02-07,3,"Management is fair, but communication could be improved."
362,1519,2020-07-19,3,"The team dynamics are standard, but we could use more collaboration."
363,1132,2021-03-20,4,I feel recognized in my position. The work-life balance is exceptional.
364,1059,2024-05-13,4,wonderful benefits and compensation package. I feel well rewarded for my work.
365,1370,2020-09-17,5,excellent benefits and compensation package. I feel well rewarded for my work.
366,1787,2019-11-29,5,I'm very satisfied with my role. The department is collaborative and provides excellent opportunities.
367,1028,2022-08-16,5,I'm very satisfied with my role. The department is collaborative and provides exceptional opportunities.
368,1022,2023-07-21,5,superior benefits and compensation package. I feel well rewarded for my work.
369,1856,2022-03-01,3,average satisfaction with my current role and responsibilities.
370,1502,2023-09-08,2,Feeling exhausted and tense due to high workload.
371,1485,2023-02-28,5,I'm very satisfied with my role. The group is encouraging and provides excellent opportunities.
372,1664,2023-09-25,5,I feel respected in my position. The work-life balance is superior.
373,1591,2019-09-08,3,"Management is moderate, but communication could be improved."
374,1324,2021-01-03,4,The work environment culture is great. Management really considers to our feedback.
375,1828,2022-12-15,1,Company culture needs significant improvement. Morale is low.
376,1912,2024-05-31,5,I feel recognized in my position. The work-life balance is exceptional.
377,1135,2025-03-28,4,Our department has excellent leadership and clear communication channels.
