CASE ID;Date;Start of Week;Start of Month;TRANSLATED COMMENTS;Feeling;FEEL;CHANNEL;RESOLUTION TIME (min);CSAT Rating Received;CLASSIFICATION;RESOLVED IN SLA;FIRST TOUCH RESOLUTION;Group Name History;Groups;Total Groups;CSAT Rated Group Name;ISSUE CLASSIFICATION
CASE-1577;2024-01-24;2024-01-21;2024-01-01;The email support team was efficient and friendly.;positive;positive;phone;10;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-1249;2025-03-12;2025-03-09;2025-03-01;The email support team was efficient and friendly.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo H,Grupo D;2;2;Grupo D;Card Issues
CASE-1375;2023-11-27;2023-11-26;2023-11-01;Phone support was friendly and resolved my concern.;positive;positive;phone;10;4;PROMOTER;1;1;Grupo H,Grupo D;2;2;Grupo D;Fees Inquiry
CASE-1517;2024-01-11;2024-01-07;2024-01-01;The chatbot gave me nonsense answers all the time.;negative;negative;email;3102;2;DETRACTOR;0;1;Grupo J,Grupo B;2;2;Grupo B;Transaction Error
CASE-1476;2025-01-04;2024-12-29;2025-01-01;Email support was fast and fixed my login issue.;positive;positive;phone;29;5;PROMOTER;1;1;Grupo I,Grupo C,Grupo I;2;3;Grupo I;Card Issues
CASE-1798;2025-12-03;2025-11-30;2025-12-01;The phone agent didn’t even try to assist me.;negative;negative;phone;109;1;DETRACTOR;0;0;Grupo B,Grupo D,Grupo B,Grupo A;3;4;Grupo A;Balance Inquiry
CASE-1675;2023-05-21;2023-05-21;2023-05-01;Great customer service, the phone representative was so polite!;positive;positive;email;150;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-1270;2023-05-17;2023-05-14;2023-05-01;The chatbot answered my mortgage question accurately.;positive;positive;email;64;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;General Inquiry
CASE-1440;2023-10-13;2023-10-08;2023-10-01;Email support ignored my complaint completely.;negative;negative;phone;89;2;DETRACTOR;0;1;Grupo A,Grupo I,Grupo G;3;3;Grupo G;General Inquiry
CASE-1982;2023-12-31;2023-12-31;2023-12-01;The email response was late and full of errors.;negative;negative;email;3147;1;DETRACTOR;0;0;Grupo A,Grupo H;2;2;Grupo H;Account Setup
CASE-1223;2023-02-06;2023-02-05;2023-02-01;The chatbot couldn’t handle my simple transfer request.;negative;negative;email;4303;2;DETRACTOR;0;1;Grupo D,Grupo I;2;2;Grupo I;Payment Issues
CASE-1498;2025-08-31;2025-08-31;2025-08-01;The chatbot made resetting my PIN so simple.;positive;positive;phone;9;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Payment Issues
CASE-1328;2025-04-08;2025-04-06;2025-04-01;The chatbot was quick to assist with my payment query.;positive;positive;phone;14;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Payment Issues
CASE-1511;2024-10-18;2024-10-13;2024-10-01;The phone agent helped me with my rewards program.;positive;positive;phone;7;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Loan Inquiry
CASE-1665;2024-03-26;2024-03-24;2024-03-01;The chatbot quickly helped me reset my password.;positive;positive;email;394;4;PROMOTER;1;1;Grupo A,Grupo E;2;2;Grupo E;Account Setup
CASE-1176;2024-03-06;2024-03-03;2024-03-01;Email support was spot on, they fixed my login problem quickly.;positive;positive;email;63;4;PROMOTER;1;1;Grupo F,Grupo H;2;2;Grupo H;Balance Inquiry
CASE-1920;2025-07-06;2025-07-06;2025-07-01;The email response was late and irrelevant.;negative;negative;phone;75;2;DETRACTOR;0;0;Grupo I,Grupo A,Grupo D;3;3;Grupo D;Payment Issues
CASE-1392;2023-04-05;2023-04-02;2023-04-01;The phone team made my experience so pleasant today.;positive;positive;chatbot;5;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Fees Inquiry
CASE-1886;2025-10-03;2025-09-28;2025-10-01;The phone agent helped me set up alerts with ease.;positive;positive;chatbot;3;5;PROMOTER;1;0;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-1134;2023-10-16;2023-10-15;2023-10-01;The chatbot was average with my card request.;neutral;neutral;email;3913;4;PROMOTER;0;1;Grupo A,Grupo I,Grupo J;3;3;Grupo J;General Inquiry
CASE-1087;2023-07-16;2023-07-16;2023-07-01;Email support didn’t even read my message properly.;negative;negative;chatbot;117;2;DETRACTOR;0;0;Grupo I,Grupo E,Grupo G,Grupo F;4;4;Grupo F;Login Problems
CASE-1987;2024-03-07;2024-03-03;2024-03-01;Phone support handled my transfer request flawlessly.;positive;positive;chatbot;10;4;PROMOTER;1;1;Grupo I,Grupo F;2;2;Grupo F;Balance Inquiry
CASE-1570;2023-07-29;2023-07-23;2023-07-01;Phone support was a nightmare, no help at all.;negative;negative;phone;138;1;DETRACTOR;0;1;Grupo E,Grupo G,Grupo E,Grupo I;3;4;Grupo I;Fraud Report
CASE-1453;2024-01-21;2024-01-21;2024-01-01;The phone agent was impatient and rude.;negative;negative;phone;70;2;DETRACTOR;0;0;Grupo I,Grupo E,Grupo I,Grupo C;3;4;Grupo C;Balance Inquiry
CASE-1033;2025-07-01;2025-06-29;2025-07-01;The email response was rude and dismissive.;negative;negative;chatbot;17;2;DETRACTOR;0;0;Grupo A,Grupo A,Grupo D,Grupo B;3;4;Grupo B;Card Issues
CASE-1280;2023-08-08;2023-08-06;2023-08-01;Super satisfied with the email response to my inquiry.;positive;positive;phone;22;4;PROMOTER;1;1;Grupo E,Grupo D;2;2;Grupo D;Loan Inquiry
CASE-1289;2023-03-09;2023-03-05;2023-03-01;The chatbot explained my fees so clearly, I’m impressed!;positive;positive;chatbot;4;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Payment Issues
CASE-1112;2025-08-31;2025-08-31;2025-08-01;The phone agent was friendly and fixed my login issue.;positive;positive;email;240;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Login Problems
CASE-1299;2025-08-20;2025-08-17;2025-08-01;The chatbot crashed during my transaction query.;negative;negative;email;2204;1;DETRACTOR;0;0;Grupo B,Grupo E;2;2;Grupo E;General Inquiry
CASE-1362;2024-03-10;2024-03-10;2024-03-01;The agent was very helpful and resolved my issue quickly.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-1853;2023-07-03;2023-07-02;2023-07-01;Email support was the worst, no effort at all.;negative;negative;phone;168;1;DETRACTOR;0;0;Grupo J,Grupo E,Grupo I;3;3;Grupo I;Transaction Error
CASE-1475;2025-08-02;2025-07-27;2025-08-01;The phone team was alright, no complaints.;neutral;neutral;email;1114;3;DETRACTOR;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-1385;2025-01-02;2024-12-29;2025-01-01;The phone agent was impatient and rude.;negative;negative;phone;35;1;DETRACTOR;0;0;Grupo G,Grupo E,Grupo H;3;3;Grupo H;Transaction Error
CASE-1546;2024-06-20;2024-06-16;2024-06-01;Super satisfied with the email response to my inquiry.;positive;positive;chatbot;1;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-1029;2025-03-29;2025-03-23;2025-03-01;Email support was neutral, did the minimum.;neutral;neutral;phone;109;3;DETRACTOR;0;1;Grupo F,Grupo D,Grupo G,Grupo I;4;4;Grupo I;Payment Issues
CASE-1256;2025-11-25;2025-11-23;2025-11-01;Email support was polite and answered all my questions.;positive;positive;phone;15;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Payment Issues
CASE-1899;2025-12-30;2025-12-28;2025-12-01;The phone team was rude and hung up on me.;negative;negative;chatbot;91;2;DETRACTOR;0;0;Grupo E,Grupo A,Grupo E,Grupo H,Grupo B;4;5;Grupo B;Login Problems
CASE-1687;2024-08-24;2024-08-18;2024-08-01;Email support was okay, not very thorough.;neutral;neutral;phone;37;4;PROMOTER;0;1;Grupo H,Grupo C;2;2;Grupo C;Login Problems
CASE-1828;2024-02-04;2024-02-04;2024-02-01;The email team was fast and solved my problem.;positive;positive;email;193;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Payment Issues
CASE-1331;2023-11-06;2023-11-05;2023-11-01;The email support team was efficient and friendly.;positive;positive;phone;13;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Card Issues
CASE-1353;2024-04-29;2024-04-28;2024-04-01;Email support was reliable and resolved my concern.;positive;positive;email;340;4;PROMOTER;1;1;Grupo J,Grupo D;2;2;Grupo D;Account Setup
CASE-1354;2023-01-21;2023-01-15;2023-01-01;The email team sent me a reply that made no sense.;negative;negative;phone;105;1;DETRACTOR;0;0;Grupo G,Grupo H,Grupo I,Grupo F;4;4;Grupo F;Transaction Error
CASE-1613;2024-06-27;2024-06-23;2024-06-01;The chatbot handled my request, but it was basic.;neutral;neutral;phone;77;4;PROMOTER;0;1;Grupo I,Grupo B,Grupo E;3;3;Grupo E;Balance Inquiry
CASE-1827;2025-06-29;2025-06-29;2025-06-01;Phone support was awful, they ignored my problem.;negative;negative;email;2822;2;DETRACTOR;0;0;Grupo A,Grupo G,Grupo B;3;3;Grupo B;Login Problems
CASE-1673;2025-06-19;2025-06-15;2025-06-01;The chatbot was quick to assist with my card issue.;positive;positive;chatbot;3;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Payment Issues
CASE-1562;2023-01-11;2023-01-08;2023-01-01;Email support replied, but it wasn’t very detailed.;neutral;neutral;email;3047;4;PROMOTER;0;0;Grupo J,Grupo F,Grupo C;3;3;Grupo C;Loan Inquiry
CASE-1225;2023-05-23;2023-05-21;2023-05-01;The phone team solved my issue, but it took time.;neutral;neutral;phone;30;3;DETRACTOR;1;0;Grupo E;1;1;Grupo E;Payment Issues
CASE-1678;2023-05-18;2023-05-14;2023-05-01;The agent was very helpful and resolved my issue quickly.;positive;positive;chatbot;4;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-1812;2023-08-16;2023-08-13;2023-08-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;positive;phone;12;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Balance Inquiry
CASE-1304;2025-10-05;2025-10-05;2025-10-01;The phone agent explained everything in a friendly way.;positive;positive;email;224;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Transaction Error
CASE-1672;2025-02-05;2025-02-02;2025-02-01;The email team was okay, response was standard.;neutral;neutral;chatbot;26;4;PROMOTER;0;0;Grupo A,Grupo G,Grupo J;3;3;Grupo J;General Inquiry
CASE-1143;2023-04-30;2023-04-30;2023-04-01;The chatbot was alright with my loan terms.;neutral;neutral;chatbot;15;3;DETRACTOR;0;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-1990;2023-11-28;2023-11-26;2023-11-01;I’m impressed with how fast my loan application was processed.;positive;positive;phone;15;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Loan Inquiry
CASE-1136;2024-09-23;2024-09-22;2024-09-01;The email response was prompt and very clear.;positive;positive;phone;13;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Login Problems
CASE-1451;2024-04-19;2024-04-14;2024-04-01;The chatbot answered my mortgage question accurately.;positive;positive;phone;31;4;PROMOTER;0;1;Grupo B,Grupo H,Grupo E;3;3;Grupo E;Transaction Error
CASE-1202;2025-10-27;2025-10-26;2025-10-01;The phone team was rude and hung up on me.;negative;negative;phone;56;1;DETRACTOR;0;0;Grupo B,Grupo J,Grupo F;3;3;Grupo F;Payment Issues
CASE-1048;2023-11-27;2023-11-26;2023-11-01;The chatbot made checking my rewards so simple.;positive;positive;email;199;4;PROMOTER;1;0;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-1508;2024-11-04;2024-11-03;2024-11-01;Phone support was amazing, they handled my complaint well.;positive;positive;email;176;5;PROMOTER;1;0;Grupo E,Grupo B;2;2;Grupo B;Card Issues
CASE-1114;2025-08-13;2025-08-10;2025-08-01;The phone team resolved my overdraft issue professionally.;positive;positive;email;128;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-1412;2024-01-19;2024-01-14;2024-01-01;Phone support was okay, nothing remarkable.;neutral;neutral;phone;83;4;PROMOTER;0;1;Grupo D,Grupo B,Grupo A;3;3;Grupo A;Transaction Error
CASE-1473;2025-09-07;2025-09-07;2025-09-01;The email team responded promptly and solved my issue.;positive;positive;phone;12;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Card Issues
CASE-1862;2024-12-14;2024-12-08;2024-12-01;The email team ignored my urgent card issue.;negative;negative;email;3128;2;DETRACTOR;0;1;Grupo G,Grupo I,Grupo D,Grupo E;4;4;Grupo E;Fees Inquiry
CASE-1935;2024-06-25;2024-06-23;2024-06-01;The phone agent was impatient and rude.;negative;negative;email;2226;2;DETRACTOR;0;0;Grupo E;1;1;Grupo E;Card Issues
CASE-1026;2025-09-25;2025-09-21;2025-09-01;Email support was excellent and very responsive.;positive;positive;phone;8;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Payment Issues
CASE-1038;2025-12-27;2025-12-21;2025-12-01;The chatbot couldn’t assist with my bill payment.;negative;negative;phone;49;2;DETRACTOR;0;0;Grupo J;1;1;Grupo J;Card Issues
CASE-1864;2023-12-24;2023-12-24;2023-12-01;The phone agent was clueless about my account.;negative;negative;email;1475;1;DETRACTOR;0;0;Grupo A,Grupo B,Grupo J,Grupo E;4;4;Grupo E;Transaction Error
