REGION,CATEGORIA,PRODUCTO,VALOR,DATA_TYPE,FECHA,LOWER_BOUND,UPPER_BOUND
Cundinamarca,Bebida Energética,Power Up 500mL x 6uds,1.076790571,FORECAST,2026-05-01,-0.4924242306,2.646005373
Atlántico,Bebida de Té,Té Verde 500mL x 12uds,1.639286629,FORECAST,2026-05-01,0.08594352496,3.181421464
Tolima,Bebida de Té,Té Verde 300mL x 6uds,0.1303732835,FORECAST,2026-05-01,-0.02132187017,0.2819585333
Antioquia,Bebida de Té,Té Verde 500mL x 12uds,2.268565812,FORECAST,2026-05-01,0.4765307151,4.059319395
Bolívar,Jugo,Jugo Naranja 2000mL x 24uds,27.441904465,FORECAST,2026-05-01,14.315316931,40.267191811
Tolima,Bebida de Té,Té Negro 500mL x 6uds,0.03444890793,FORECAST,2026-05-01,-0.037671719,0.1041690061
Norte de Santander,Jugo,Jugo Lima 1000mL x 6uds,0.7876041008,FORECAST,2026-05-01,0.1857234009,1.352053235
Atlántico,Agua,Agua Sin Gas 1L x 6uds,6.2668489,FORECAST,2026-05-01,4.932801159,7.483594858
Cundinamarca,Agua,Agua Sin Gas 1L x 1uds,0.8018118143,FORECAST,2026-05-01,0.7503737394,0.8532498892
Norte de Santander,Agua,Agua con Gas 5L x 1uds,0.8965771958,FORECAST,2026-05-01,0.1823004281,1.579963793
Cundinamarca,Jugo,Jugo Manzana 2000mL x 24uds,24.227734722,FORECAST,2026-05-01,12.940251458,35.515217986
Santander,Gaseosa,Uva 600mL x 24uds,0.8874877735,FORECAST,2026-05-01,-1.193936836,2.898904168
Valle del Cauca,Agua,Agua con Gas 5L x 1uds,3.068979525,FORECAST,2026-05-01,2.11500433,3.93968858
Cundinamarca,Agua,Agua con Gas 500mL x 6uds,1.830557208,FORECAST,2026-05-01,0.7539125163,2.880769043
Santander,Jugo,Jugo Lima 2000mL x 12uds,6.514407554,FORECAST,2026-05-01,2.874661698,9.884432974
Bolívar,Agua,Agua Sin Gas 1L x 1uds,0.2183323211,FORECAST,2026-05-01,0.03971045728,0.3867795956
Santander,Jugo,Jugo Naranja 2000mL x 24uds,19.763224017,FORECAST,2026-05-01,12.679462369,26.498101897
Santander,Jugo,Jugo Lima 1000mL x 6uds,1.148277164,FORECAST,2026-05-01,0.7398426145,1.556711713
Valle del Cauca,Gaseosa,Uva 600mL x 24uds,-1.41473031,FORECAST,2026-05-01,-12.301613711,9.47215309
Norte de Santander,Agua,Agua Sin Gas 1L x 6uds,1.350961048,FORECAST,2026-05-01,0.6218685798,2.027378414
Tolima,Jugo,Jugo Lima 2000mL x 12uds,4.407719355,FORECAST,2026-05-01,0.2247369456,8.317620674
Bolívar,Gaseosa,Uva 600mL x 24uds,1.8386404,FORECAST,2026-05-01,0.3172377744,3.226267345
Boyacá,Agua,Agua Sin Gas 1L x 1uds,0.03886307018,FORECAST,2026-05-01,-0.003922306813,0.0816484471
Meta,Bebida de Té,Té Verde 500mL x 12uds,0.1381137669,FORECAST,2026-05-01,-0.002860893249,0.2790884271
Atlántico,Gaseosa,Uva 600mL x 24uds,0.8696479456,FORECAST,2026-05-01,-0.235997246,1.975293136
Santander,Agua,Agua Sin Gas 1L x 6uds,2.037810464,FORECAST,2026-05-01,0.6596692799,3.373900689
Valle del Cauca,Jugo,Jugo Manzana 2000mL x 24uds,14.902070295,FORECAST,2026-05-01,6.598616342,22.475386885
Cundinamarca,Bebida de Té,Té Verde 500mL x 12uds,2.826347571,FORECAST,2026-05-01,1.579335855,4.073359292
Atlántico,Bebida de Té,Té Verde 300mL x 6uds,0.3556793294,FORECAST,2026-05-01,0.1023682268,0.586716995
Boyacá,Jugo,Jugo Lima 1000mL x 6uds,0.1445999891,FORECAST,2026-05-01,0.1101170452,0.1790829329
Meta,Bebida Energética,Power Up 500mL x 6uds,0.2061249167,FORECAST,2026-05-01,-0.1286709038,0.5176537598
Valle del Cauca,Bebida de Té,Té Negro 500mL x 6uds,0.7495324612,FORECAST,2026-05-01,-0.6037520671,2.102816989
Bolívar,Agua,Agua con Gas 5L x 1uds,1.94393137,FORECAST,2026-05-01,1.161477469,2.657584656
Meta,Agua,Agua Sin Gas 1L x 6uds,0.924413383,FORECAST,2026-05-01,0.7515966191,1.097230147
Santander,Agua,Agua Sin Gas 1L x 1uds,0.1678686072,FORECAST,2026-05-01,-0.02844018645,0.364177405
Atlántico,Bebida Energética,Power Up 500mL x 6uds,0.5568423731,FORECAST,2026-05-01,-0.269578511,1.38326326
Cundinamarca,Jugo,Jugo Lima 1000mL x 6uds,2.197083896,FORECAST,2026-05-01,1.199755404,3.116715115
Antioquia,Bebida de Té,Té Verde 300mL x 6uds,0.4835336296,FORECAST,2026-05-01,0.2758864687,0.6911807905
Bolívar,Jugo,Jugo Manzana 2000mL x 24uds,11.156284046,FORECAST,2026-05-01,4.321385712,17.762513826
Valle del Cauca,Bebida de Té,Té Verde 300mL x 6uds,0.7176406397,FORECAST,2026-05-01,0.4563706019,0.9605148063
Boyacá,Jugo,Jugo Manzana 2000mL x 24uds,1.902932614,FORECAST,2026-05-01,0.8534468107,2.901761105
Tolima,Jugo,Jugo Lima 1000mL x 6uds,0.4106469096,FORECAST,2026-05-01,-0.6479360757,1.467791952
Tolima,Gaseosa,Cola 600mL x 24uds,1.034104006,FORECAST,2026-05-01,-0.1169474094,2.185155392
Norte de Santander,Bebida de Té,Té Negro 500mL x 6uds,0.2090517097,FORECAST,2026-05-01,-0.03874610663,0.4395228864
Bolívar,Bebida Energética,Power Up 500mL x 6uds,0.8027195695,FORECAST,2026-04-01,0.3368076955,1.273962669
Atlántico,Gaseosa,Uva 600mL x 24uds,1.429447352,FORECAST,2026-04-01,0.3364424957,2.522452199
Santander,Gaseosa,Cola 600mL x 24uds,0.7389725855,FORECAST,2026-04-01,-0.260759069,1.765595318
Antioquia,Bebida de Té,Té Verde 300mL x 6uds,0.4067347219,FORECAST,2026-04-01,0.1977588953,0.6157105485
Santander,Agua,Agua Sin Gas 1L x 1uds,0.1694172104,FORECAST,2026-04-01,-0.02409801525,0.3629324342
Bolívar,Agua,Agua con Gas 500mL x 6uds,0.570056695,FORECAST,2026-04-01,0.04224722579,1.097678334
Valle del Cauca,Agua,Agua Sin Gas 1L x 6uds,5.003047814,FORECAST,2026-04-01,3.665378013,6.401242246
Santander,Jugo,Jugo Naranja 2000mL x 24uds,20.483725614,FORECAST,2026-04-01,13.510928177,27.418122988
Valle del Cauca,Agua,Agua Sin Gas 1L x 1uds,0.4242306129,FORECAST,2026-04-01,0.2226691866,0.628560475
Cundinamarca,Agua,Agua con Gas 5L x 1uds,4.877352715,FORECAST,2026-04-01,3.754531064,6.000175089
Norte de Santander,Jugo,Jugo Lima 1000mL x 6uds,0.4291156146,FORECAST,2026-04-01,-0.1383826948,1.010810652
Cundinamarca,Gaseosa,Cola 600mL x 24uds,3.861922591,FORECAST,2026-04-01,1.723074159,6.036809122
Santander,Agua,Agua con Gas 500mL x 6uds,0.5080116391,FORECAST,2026-04-01,0.01081814072,1.005205138
Boyacá,Bebida de Té,Té Verde 500mL x 12uds,-0.05625482558,FORECAST,2026-04-01,-0.6978298485,0.5684588881
Bolívar,Jugo,Jugo Lima 2000mL x 12uds,10.826313972,FORECAST,2026-04-01,0.7148029569,20.937824988
Cundinamarca,Bebida Energética,Power Up 500mL x 6uds,1.103803873,FORECAST,2026-04-01,-0.3986049161,2.606212662
Norte de Santander,Jugo,Jugo Lima 2000mL x 12uds,1.542910482,FORECAST,2026-04-01,-0.3477372711,3.433558234
Atlántico,Agua,Agua Sin Gas 1L x 1uds,0.4973847866,FORECAST,2026-04-01,0.2487103531,0.7424813678
Valle del Cauca,Bebida de Té,Té Verde 300mL x 6uds,0.8156338428,FORECAST,2026-04-01,0.5749352821,1.064867555
Boyacá,Gaseosa,Uva 600mL x 24uds,0.3914062256,FORECAST,2026-04-01,0.3275905206,0.453761673
Antioquia,Jugo,Jugo Naranja 2000mL x 24uds,60.529166031,FORECAST,2026-04-01,43.5890264,77.167233993
Atlántico,Bebida de Té,Té Verde 300mL x 6uds,0.5688953047,FORECAST,2026-04-01,0.3404918654,0.8076330023
Bolívar,Gaseosa,Cola 600mL x 24uds,1.967455003,FORECAST,2026-04-01,0.1951601392,3.771118682
Tolima,Jugo,Jugo Naranja 2000mL x 24uds,6.244588409,FORECAST,2026-04-01,-1.413430652,13.902607598
Tolima,Bebida de Té,Té Verde 500mL x 12uds,0.03561761393,FORECAST,2026-04-01,-0.1399084663,0.211143693
Meta,Bebida Energética,Power Up 500mL x 6uds,0.2061249167,FORECAST,2026-04-01,-0.1223200777,0.5393502216
Cundinamarca,Jugo,Jugo Naranja 2000mL x 24uds,94.511123657,FORECAST,2026-04-01,15.793559643,173.228687671
Antioquia,Bebida de Té,Té Verde 500mL x 12uds,2.1735106,FORECAST,2026-04-01,0.4555587453,3.89205704
Norte de Santander,Bebida de Té,Té Verde 500mL x 12uds,0.6200048923,FORECAST,2026-04-01,-0.2196413486,1.442088818
Norte de Santander,Bebida de Té,Té Negro 500mL x 6uds,0.1058378,FORECAST,2026-04-01,-0.1250277331,0.3452059042
Bolívar,Bebida de Té,Té Negro 500mL x 6uds,0.5146348257,FORECAST,2026-04-01,-0.06897728837,1.09824694
Valle del Cauca,Bebida Energética,Power Up 500mL x 6uds,0.998714369,FORECAST,2026-04-01,0.3696669525,1.627761839
Tolima,Gaseosa,Uva 600mL x 24uds,0.8419735754,FORECAST,2026-04-01,-0.03163975063,1.715586909
Bolívar,Bebida de Té,Té Verde 500mL x 12uds,1.459004715,FORECAST,2026-04-01,0.9903379643,1.92767149
Tolima,Bebida de Té,Té Negro 500mL x 6uds,0.05211313735,FORECAST,2026-04-01,-0.02328328947,0.1286233431
Valle del Cauca,Jugo,Jugo Lima 2000mL x 12uds,20.00097973,FORECAST,2026-04-01,10.297962597,29.757194713
Cundinamarca,Agua,Agua Sin Gas 1L x 1uds,0.8772905469,FORECAST,2026-04-01,0.825852472,0.9287286218
Valle del Cauca,Jugo,Jugo Naranja 2000mL x 24uds,44.642314911,FORECAST,2026-04-01,29.262841717,58.522411029
Boyacá,Agua,Agua Sin Gas 1L x 6uds,0.4012072063,FORECAST,2026-04-01,-0.07083389025,0.8732483029
Valle del Cauca,Jugo,Jugo Lima 1000mL x 6uds,1.907079577,FORECAST,2026-04-01,-2.385395547,6.199554702
Antioquia,Gaseosa,Uva 600mL x 24uds,2.555384305,FORECAST,2026-04-01,-0.3923128268,5.503081385
Valle del Cauca,Gaseosa,Uva 600mL x 24uds,-0.7146363854,FORECAST,2026-04-01,-11.138033672,9.708760901
Atlántico,Jugo,Jugo Lima 2000mL x 12uds,21.022279799,FORECAST,2026-04-01,6.526680259,35.517879339
Antioquia,Agua,Agua Sin Gas 1L x 1uds,0.6447422064,FORECAST,2026-04-01,0.4669212542,0.8285071745
Atlántico,Bebida de Té,Té Negro 500mL x 6uds,1.329654523,FORECAST,2026-04-01,0.804225057,1.861759879
Tolima,Jugo,Jugo Lima 2000mL x 12uds,4.372166613,FORECAST,2026-04-01,0.1673609459,8.464485145
Cundinamarca,Jugo,Jugo Lima 1000mL x 6uds,1.888973155,FORECAST,2026-04-01,0.9814892288,2.832506107
Santander,Jugo,Jugo Lima 2000mL x 12uds,6.784975417,FORECAST,2026-04-01,3.189995299,10.330283025
Atlántico,Jugo,Jugo Manzana 2000mL x 24uds,13.658247632,FORECAST,2026-04-01,6.684749141,20.687141321
Santander,Gaseosa,Uva 600mL x 24uds,0.8729809039,FORECAST,2026-04-01,-1.319692685,2.879935325
Bolívar,Agua,Agua Sin Gas 1L x 6uds,3.237455274,FORECAST,2026-04-01,1.617672257,4.85723829
Norte de Santander,Agua,Agua con Gas 5L x 1uds,0.877255713,FORECAST,2026-04-01,0.2127873808,1.556053925
Antioquia,Bebida Energética,Power Up 500mL x 6uds,1.693588482,FORECAST,2026-04-01,0.7053621416,2.681814822
Boyacá,Agua,Agua con Gas 5L x 1uds,0.1812573377,FORECAST,2026-04-01,-0.2064324882,0.5689471727
Antioquia,Gaseosa,Cola 600mL x 24uds,4.539092541,FORECAST,2026-04-01,2.276443232,6.801741849
Atlántico,Agua,Agua Sin Gas 1L x 6uds,6.338961785,FORECAST,2026-04-01,5.136088737,7.596259598
Meta,Jugo,Jugo Naranja 2000mL x 24uds,4.17427598,FORECAST,2026-04-01,-0.7005562689,9.074752363
Bolívar,Jugo,Jugo Naranja 2000mL x 24uds,27.442313099,FORECAST,2026-04-01,14.23247589,40.37520187
Tolima,Agua,Agua con Gas 500mL x 6uds,0.2000372711,FORECAST,2026-04-01,-0.07499720612,0.4750717484
Meta,Gaseosa,Uva 600mL x 24uds,0.5949164974,FORECAST,2026-04-01,-0.1700837349,1.352899787
Tolima,Bebida de Té,Té Verde 300mL x 6uds,0.1366716568,FORECAST,2026-04-01,-0.01389752789,0.2872918339
Antioquia,Agua,Agua con Gas 500mL x 6uds,1.302317847,FORECAST,2026-04-01,0.8065770276,1.796163773
Boyacá,Jugo,Jugo Lima 2000mL x 12uds,2.576744842,FORECAST,2026-04-01,-1.841057553,6.994547276
Norte de Santander,Bebida de Té,Té Verde 300mL x 6uds,0.05044216852,FORECAST,2026-04-01,-0.2082099752,0.3122188394
Boyacá,Jugo,Jugo Manzana 2000mL x 24uds,1.729445497,FORECAST,2026-04-01,0.7366080493,2.745786446
Norte de Santander,Gaseosa,Cola 600mL x 24uds,0.0553675194,FORECAST,2026-04-01,-0.3431976632,0.4539327022
Atlántico,Jugo,Jugo Lima 1000mL x 6uds,1.613371312,FORECAST,2026-04-01,0.4593977872,2.788469434
Valle del Cauca,Agua,Agua con Gas 500mL x 6uds,0.7496453603,FORECAST,2026-04-01,0.01009046814,1.489200252
Atlántico,Bebida Energética,Power Up 500mL x 6uds,0.5289518466,FORECAST,2026-04-01,-0.2760283037,1.333932
Antioquia,Jugo,Jugo Lima 2000mL x 12uds,28.607604328,FORECAST,2026-04-01,14.589214617,42.333369276
Cundinamarca,Gaseosa,Uva 600mL x 24uds,2.517670748,FORECAST,2026-04-01,-1.445341408,6.480516262
Valle del Cauca,Jugo,Jugo Manzana 2000mL x 24uds,17.653090181,FORECAST,2026-04-01,10.166093189,25.478845159
Boyacá,Jugo,Jugo Naranja 2000mL x 24uds,4.298102904,FORECAST,2026-04-01,0.172686271,8.243434269
Meta,Jugo,Jugo Manzana 2000mL x 24uds,0.4250371738,FORECAST,2026-04-01,-0.6523783169,1.502452663
Meta,Agua,Agua Sin Gas 1L x 1uds,0.01879442607,FORECAST,2026-04-01,-0.04730698899,0.08788664146
Norte de Santander,Jugo,Jugo Manzana 2000mL x 24uds,12.85463058,FORECAST,2026-04-01,5.533715126,20.175546034
Antioquia,Jugo,Jugo Lima 1000mL x 6uds,3.333710979,FORECAST,2026-04-01,2.531294472,4.155703092
Tolima,Jugo,Jugo Lima 1000mL x 6uds,0.4181665241,FORECAST,2026-04-01,-0.5971604168,1.433656216
Cundinamarca,Agua,Agua con Gas 500mL x 6uds,1.82579843,FORECAST,2026-04-01,0.7147683145,2.916693417
Meta,Jugo,Jugo Lima 2000mL x 12uds,4.112732543,FORECAST,2026-04-01,2.821618406,5.41830404
Meta,Agua,Agua con Gas 500mL x 6uds,0.06760625886,FORECAST,2026-04-01,-0.1108885859,0.2541772156
Norte de Santander,Agua,Agua con Gas 500mL x 6uds,0.3007811677,FORECAST,2026-04-01,-0.03611275118,0.6376750867
Cundinamarca,Bebida de Té,Té Verde 500mL x 12uds,2.192782176,FORECAST,2026-04-01,0.9921481503,3.393416204
Tolima,Bebida Energética,Power Up 500mL x 6uds,0.2534395158,FORECAST,2026-04-01,-0.06788710052,0.5747661019
Antioquia,Jugo,Jugo Manzana 2000mL x 24uds,25.163825989,FORECAST,2026-04-01,-0.612913244,50.940565221
Santander,Bebida Energética,Power Up 500mL x 6uds,0.1864509472,FORECAST,2026-04-01,-0.1861779719,0.5590798544
Bolívar,Jugo,Jugo Manzana 2000mL x 24uds,8.133569754,FORECAST,2026-04-01,1.612643444,14.760591922
Boyacá,Bebida de Té,Té Verde 300mL x 6uds,0.07258710875,FORECAST,2026-04-01,-0.03686069726,0.1820349148
Tolima,Agua,Agua Sin Gas 1L x 6uds,1.115798573,FORECAST,2026-04-01,0.2678068086,1.9629917
Atlántico,Bebida de Té,Té Verde 500mL x 12uds,1.594301657,FORECAST,2026-04-01,0.09348822846,3.100315007
Boyacá,Bebida de Té,Té Negro 500mL x 6uds,0.08650673181,FORECAST,2026-04-01,-0.05491505575,0.2279285194
Antioquia,Bebida de Té,Té Negro 500mL x 6uds,1.177472329,FORECAST,2026-04-01,0.3819258886,1.97301877
Valle del Cauca,Bebida de Té,Té Verde 500mL x 12uds,1.895474827,FORECAST,2026-04-01,1.069667737,2.721281991
Cundinamarca,Jugo,Jugo Manzana 2000mL x 24uds,17.186020293,FORECAST,2026-04-01,6.239664731,28.132375854
Meta,Agua,Agua Sin Gas 1L x 6uds,0.6920931935,FORECAST,2026-04-01,0.5192764296,0.8649099575
