REGION_CATEGORIA_PRODUCTO,MES,M3_VENDIDOS,AVG_PRECIO_LISTA,AVG_DESC_PORCENTAJE
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-11-01 00:00:00.000,0.060000,37743.46000000,8.700000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-12-01 00:00:00.000,0.054000,39127.93000000,4.777777777800
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-01-01 00:00:00.000,0.018000,39640.78000000,13.666666666700
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-02-01 00:00:00.000,0.060000,40037.62000000,7.300000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-03-01 00:00:00.000,0.066000,40518.12000000,6.909090909100
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-04-01 00:00:00.000,0.024000,41367.75000000,4.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-05-01 00:00:00.000,0.036000,42517.87000000,1.833333333300
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-06-01 00:00:00.000,0.060000,24178.65000000,7.600000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-07-01 00:00:00.000,0.036000,24777.14000000,1.166666666700
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-08-01 00:00:00.000,0.036000,25738.99000000,7.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-09-01 00:00:00.000,0.042000,26643.86000000,10.571428571400
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-10-01 00:00:00.000,0.042000,27331.84000000,8.714285714300
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-11-01 00:00:00.000,0.042000,28519.22000000,4.857142857100
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2023-12-01 00:00:00.000,0.042000,29127.15000000,2.571428571400
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-01-01 00:00:00.000,0.054000,30080.81000000,4.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-02-01 00:00:00.000,0.054000,30448.83000000,4.555555555600
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-03-01 00:00:00.000,0.078000,30913.93000000,4.923076923100
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-04-01 00:00:00.000,0.036000,31307.02000000,4.666666666700
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-05-01 00:00:00.000,0.036000,32274.76000000,4.666666666700
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-06-01 00:00:00.000,0.024000,32900.91000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-07-01 00:00:00.000,0.054000,34509.53000000,5.333333333300
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-08-01 00:00:00.000,0.048000,35424.23000000,9.375000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-09-01 00:00:00.000,0.024000,36476.27000000,13.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-10-01 00:00:00.000,0.048000,37606.57000000,5.625000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-11-01 00:00:00.000,0.060000,38578.31000000,2.900000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2024-12-01 00:00:00.000,0.054000,40233.85000000,2.333333333300
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-01-01 00:00:00.000,0.042000,41357.98000000,12.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-02-01 00:00:00.000,0.030000,43279.35000000,15.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-03-01 00:00:00.000,0.054000,44126.35000000,1.777777777800
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-04-01 00:00:00.000,0.060000,45551.96000000,3.100000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-05-01 00:00:00.000,0.066000,47543.30000000,2.818181818200
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-06-01 00:00:00.000,0.021000,10579.40000000,8.714285714300
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-07-01 00:00:00.000,0.039000,10861.66000000,10.769230769200
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-08-01 00:00:00.000,0.030000,11112.00000000,5.300000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-09-01 00:00:00.000,0.027000,11610.65000000,5.333333333300
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-10-01 00:00:00.000,0.030000,12152.05000000,4.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-11-01 00:00:00.000,0.027000,12656.02000000,2.666666666700
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2023-12-01 00:00:00.000,0.042000,13074.79000000,0.928571428600
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-01-01 00:00:00.000,0.027000,13307.20000000,4.555555555600
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-02-01 00:00:00.000,0.012000,13611.58000000,14.750000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-03-01 00:00:00.000,0.015000,14276.44000000,5.600000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-04-01 00:00:00.000,0.021000,14757.75000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-05-01 00:00:00.000,0.018000,15389.18000000,4.666666666700
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-06-01 00:00:00.000,0.021000,15832.24000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-07-01 00:00:00.000,0.024000,16314.15000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-08-01 00:00:00.000,0.024000,16966.84000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-09-01 00:00:00.000,0.030000,17191.69000000,7.400000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-10-01 00:00:00.000,0.024000,17778.00000000,9.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-11-01 00:00:00.000,0.018000,18637.23000000,2.333333333300
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2024-12-01 00:00:00.000,0.024000,19158.69000000,6.375000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-01-01 00:00:00.000,0.027000,19956.67000000,0.777777777800
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-02-01 00:00:00.000,0.024000,20270.46000000,7.000000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-03-01 00:00:00.000,0.027000,20521.02000000,1.555555555600
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-04-01 00:00:00.000,0.024000,21245.88000000,3.875000000000
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-05-01 00:00:00.000,0.024000,22159.31000000,5.250000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-06-01 00:00:00.000,0.660000,233066.70000000,6.909090909100
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-07-01 00:00:00.000,0.300000,238487.04000000,1.400000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-08-01 00:00:00.000,0.600000,242348.59000000,3.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-09-01 00:00:00.000,0.420000,246702.36000000,6.285714285700
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-10-01 00:00:00.000,0.900000,249225.56000000,2.533333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-11-01 00:00:00.000,0.360000,259760.85000000,1.833333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2023-12-01 00:00:00.000,0.420000,270384.68000000,10.857142857100
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-01-01 00:00:00.000,0.720000,275064.26000000,7.083333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-02-01 00:00:00.000,0.720000,285330.02000000,2.333333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-03-01 00:00:00.000,0.420000,290793.89000000,10.571428571400
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-04-01 00:00:00.000,0.360000,301853.13000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-05-01 00:00:00.000,0.600000,306097.64000000,5.600000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-06-01 00:00:00.000,0.900000,318223.47000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-07-01 00:00:00.000,0.600000,328569.18000000,4.500000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-08-01 00:00:00.000,0.540000,336674.00000000,12.888888888900
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-09-01 00:00:00.000,0.420000,340317.32000000,5.714285714300
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-10-01 00:00:00.000,0.540000,353165.14000000,5.888888888900
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-11-01 00:00:00.000,0.540000,358198.85000000,6.222222222200
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2024-12-01 00:00:00.000,0.360000,365776.94000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-01-01 00:00:00.000,0.720000,375612.76000000,5.750000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-02-01 00:00:00.000,0.540000,383316.96000000,3.333333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-03-01 00:00:00.000,0.480000,392633.75000000,6.625000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-04-01 00:00:00.000,0.300000,410997.61000000,8.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-05-01 00:00:00.000,0.420000,429501.26000000,6.142857142900
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-06-01 00:00:00.000,0.270000,136461.31000000,4.666666666700
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-07-01 00:00:00.000,0.240000,142380.18000000,5.125000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-08-01 00:00:00.000,0.270000,144876.57000000,3.888888888900
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-09-01 00:00:00.000,0.390000,150924.26000000,5.692307692300
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-10-01 00:00:00.000,0.150000,153084.29000000,3.600000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-11-01 00:00:00.000,0.390000,155057.28000000,5.307692307700
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2023-12-01 00:00:00.000,0.240000,158107.77000000,5.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-01-01 00:00:00.000,0.210000,164907.87000000,5.857142857100
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-02-01 00:00:00.000,0.150000,167194.07000000,5.600000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-03-01 00:00:00.000,0.300000,169023.21000000,7.400000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-04-01 00:00:00.000,0.180000,171532.03000000,4.666666666700
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-05-01 00:00:00.000,0.180000,178572.17000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-06-01 00:00:00.000,0.270000,182168.14000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-07-01 00:00:00.000,0.360000,187064.22000000,2.416666666700
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-08-01 00:00:00.000,0.150000,191950.34000000,9.200000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-09-01 00:00:00.000,0.180000,196174.90000000,2.666666666700
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-10-01 00:00:00.000,0.330000,199772.34000000,6.181818181800
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-11-01 00:00:00.000,0.330000,206482.22000000,5.818181818200
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2024-12-01 00:00:00.000,0.270000,213624.88000000,2.333333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-01-01 00:00:00.000,0.240000,219959.57000000,3.500000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-02-01 00:00:00.000,0.240000,224971.41000000,9.625000000000
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-03-01 00:00:00.000,0.270000,233526.01000000,3.333333333300
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-04-01 00:00:00.000,0.210000,239445.94000000,9.142857142900
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-05-01 00:00:00.000,0.240000,242779.09000000,4.500000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-06-01 00:00:00.000,0.120000,42963.94000000,5.100000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-07-01 00:00:00.000,0.168000,44798.14000000,8.214285714300
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-08-01 00:00:00.000,0.072000,45468.57000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-09-01 00:00:00.000,0.120000,47307.06000000,9.700000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-10-01 00:00:00.000,0.060000,48069.12000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-11-01 00:00:00.000,0.120000,49022.13000000,1.800000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2023-12-01 00:00:00.000,0.060000,51189.71000000,3.600000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-01-01 00:00:00.000,0.084000,52752.52000000,8.142857142900
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-02-01 00:00:00.000,0.060000,54344.61000000,6.200000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-03-01 00:00:00.000,0.060000,55181.41000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-04-01 00:00:00.000,0.132000,56077.36000000,5.090909090900
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-05-01 00:00:00.000,0.084000,58570.98000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-06-01 00:00:00.000,0.084000,60501.16000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-07-01 00:00:00.000,0.060000,61700.99000000,11.600000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-08-01 00:00:00.000,0.108000,62589.18000000,9.666666666700
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-09-01 00:00:00.000,0.120000,64817.70000000,4.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-10-01 00:00:00.000,0.084000,65639.78000000,2.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-11-01 00:00:00.000,0.024000,66297.68000000,11.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2024-12-01 00:00:00.000,0.108000,69079.10000000,4.666666666700
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-01-01 00:00:00.000,0.108000,70861.39000000,9.444444444400
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-02-01 00:00:00.000,0.060000,72714.84000000,2.800000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-03-01 00:00:00.000,0.096000,76240.36000000,1.375000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-04-01 00:00:00.000,0.132000,78082.13000000,2.454545454500
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-05-01 00:00:00.000,0.084000,81106.58000000,4.428571428600
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-06-01 00:00:00.000,0.030000,21832.92000000,5.200000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-07-01 00:00:00.000,0.054000,22673.42000000,5.888888888900
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-08-01 00:00:00.000,0.060000,23570.53000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-09-01 00:00:00.000,0.060000,24386.12000000,7.500000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-10-01 00:00:00.000,0.036000,25157.95000000,7.333333333300
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-11-01 00:00:00.000,0.048000,26296.91000000,1.250000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2023-12-01 00:00:00.000,0.054000,27390.43000000,10.222222222200
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-01-01 00:00:00.000,0.066000,28017.21000000,3.909090909100
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-02-01 00:00:00.000,0.054000,28987.32000000,5.111111111100
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-03-01 00:00:00.000,0.036000,29980.49000000,9.333333333300
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-04-01 00:00:00.000,0.102000,31123.89000000,11.529411764700
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-05-01 00:00:00.000,0.072000,32305.26000000,2.333333333300
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-06-01 00:00:00.000,0.048000,33646.66000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-07-01 00:00:00.000,0.048000,34406.01000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-08-01 00:00:00.000,0.048000,35092.43000000,7.750000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-09-01 00:00:00.000,0.054000,35767.46000000,5.888888888900
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-10-01 00:00:00.000,0.060000,36797.15000000,9.900000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-11-01 00:00:00.000,0.042000,38541.73000000,6.285714285700
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2024-12-01 00:00:00.000,0.048000,40002.59000000,4.750000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-01-01 00:00:00.000,0.054000,41682.86000000,7.777777777800
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-02-01 00:00:00.000,0.036000,42675.22000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-03-01 00:00:00.000,0.054000,43940.04000000,6.222222222200
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-04-01 00:00:00.000,0.036000,45977.43000000,8.666666666700
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-05-01 00:00:00.000,0.048000,46906.04000000,1.375000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-06-01 00:00:00.000,0.054000,23042.93000000,3.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-07-01 00:00:00.000,0.066000,23861.96000000,2.454545454500
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-08-01 00:00:00.000,0.036000,24854.57000000,5.666666666700
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-09-01 00:00:00.000,0.030000,25285.13000000,8.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-10-01 00:00:00.000,0.048000,26040.60000000,8.625000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-11-01 00:00:00.000,0.054000,26805.51000000,3.777777777800
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2023-12-01 00:00:00.000,0.060000,27682.79000000,4.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-01-01 00:00:00.000,0.024000,28121.66000000,13.250000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-02-01 00:00:00.000,0.060000,28686.95000000,3.600000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-03-01 00:00:00.000,0.030000,29906.85000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-04-01 00:00:00.000,0.060000,30209.83000000,8.400000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-05-01 00:00:00.000,0.036000,31640.71000000,9.333333333300
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-06-01 00:00:00.000,0.054000,32532.67000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-07-01 00:00:00.000,0.060000,33617.42000000,2.300000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-08-01 00:00:00.000,0.030000,34716.65000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-09-01 00:00:00.000,0.036000,35134.63000000,9.666666666700
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-10-01 00:00:00.000,0.060000,36865.64000000,7.600000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-11-01 00:00:00.000,0.048000,37936.76000000,9.250000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2024-12-01 00:00:00.000,0.066000,38497.38000000,5.818181818200
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-01-01 00:00:00.000,0.054000,39438.77000000,0.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-02-01 00:00:00.000,0.030000,39919.14000000,7.000000000000
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-03-01 00:00:00.000,0.060000,40761.20000000,7.100000000000
