MES,NOMBRE_REGION,CATEGORIA,NOMBRE_PRODUCTO,REGION_CATEGORIA_PRODUCTO,TICKETS,CANTIDAD,PRECIO_PROMEDIO,VENTAS_TOTALES,VENTAS_BRUTAS,DESCUENTOS,DESC_PORCENTAJE,COSTOS,GANANCIA_BRUTA,MARGEN_GANANCIA_BRUTA_PORCENTAJE,M3_VENDIDOS
2023-01-01,Atlántico,Agua,Agua con Gas 500mL x 6uds,Atlántico-Agua-Agua con Gas 500mL x 6uds,19,197,7500.00000000,1334475.00000000,1477500.00,143025.00000000,9.680203045700,591000.00,743475.00000000,55.712920811600,0.591000000000
2023-01-01,Atlántico,Gaseosa,Uva 600mL x 24uds,Atlántico-Gaseosa-Uva 600mL x 24uds,25,257,50400.00000000,12066768.00000000,12952800.00,886032.00000000,6.840466926100,6661440.00,5405328.00000000,44.795159731300,3.700800000000
2023-01-01,Atlántico,Agua,Agua Sin Gas 1L x 6uds,Atlántico-Agua-Agua Sin Gas 1L x 6uds,47,529,15000.00000000,6985200.00000000,7935000.00,949800.00000000,11.969754253300,3174000.00,3811200.00000000,54.561071980800,3.174000000000
2023-01-01,Atlántico,Bebida de Té,Té Verde 500mL x 12uds,Atlántico-Bebida de Té-Té Verde 500mL x 12uds,27,337,36000.00000000,11174400.00000000,12132000.00,957600.00000000,7.893175074200,6066000.00,5108400.00000000,45.715206185600,2.022000000000
2023-01-01,Atlántico,Agua,Agua Sin Gas 1L x 1uds,Atlántico-Agua-Agua Sin Gas 1L x 1uds,23,246,2500.00000000,545825.00000000,615000.00,69175.00000000,11.247967479700,246000.00,299825.00000000,54.930609627600,0.246000000000
2023-01-01,Bolívar,Agua,Agua con Gas 500mL x 6uds,Bolívar-Agua-Agua con Gas 500mL x 6uds,16,181,7500.00000000,1317375.00000000,1357500.00,40125.00000000,2.955801105000,543000.00,774375.00000000,58.781668090000,0.543000000000
2023-01-01,Bolívar,Agua,Agua Sin Gas 1L x 6uds,Bolívar-Agua-Agua Sin Gas 1L x 6uds,38,408,15000.00000000,5465100.00000000,6120000.00,654900.00000000,10.700980392200,2448000.00,3017100.00000000,55.206675083700,2.448000000000
2023-01-01,Bolívar,Gaseosa,Cola 600mL x 24uds,Bolívar-Gaseosa-Cola 600mL x 24uds,16,174,50400.00000000,7776720.00000000,8769600.00,992880.00000000,11.321839080500,4510080.00,3266640.00000000,42.005369873200,2.505600000000
2023-01-01,Bolívar,Jugo,Jugo Manzana 2000mL x 24uds,Bolívar-Jugo-Jugo Manzana 2000mL x 24uds,24,253,192000.00000000,44261760.00000000,48576000.00,4314240.00000000,8.881422924900,26716800.00,17544960.00000000,39.639092525900,12.144000000000
2023-01-01,Bolívar,Agua,Agua con Gas 5L x 1uds,Bolívar-Agua-Agua con Gas 5L x 1uds,15,170,12500.00000000,1881250.00000000,2125000.00,243750.00000000,11.470588235300,850000.00,1031250.00000000,54.817275747500,0.850000000000
2023-01-01,Bolívar,Bebida Energética,Power Up 500mL x 6uds,Bolívar-Bebida Energética-Power Up 500mL x 6uds,15,169,30000.00000000,4357200.00000000,5070000.00,712800.00000000,14.059171597600,2281500.00,2075700.00000000,47.638391627700,0.507000000000
2023-01-01,Bolívar,Bebida de Té,Té Verde 300mL x 6uds,Bolívar-Bebida de Té-Té Verde 300mL x 6uds,15,170,10800.00000000,1651104.00000000,1836000.00,184896.00000000,10.070588235300,918000.00,733104.00000000,44.400837258000,0.306000000000
2023-01-01,Bolívar,Bebida de Té,Té Verde 500mL x 12uds,Bolívar-Bebida de Té-Té Verde 500mL x 12uds,19,207,36000.00000000,6905880.00000000,7452000.00,546120.00000000,7.328502415500,3726000.00,3179880.00000000,46.045978209900,1.242000000000
2023-01-01,Bolívar,Bebida de Té,Té Negro 500mL x 6uds,Bolívar-Bebida de Té-Té Negro 500mL x 6uds,28,324,18000.00000000,5214600.00000000,5832000.00,617400.00000000,10.586419753100,2916000.00,2298600.00000000,44.080082844300,0.972000000000
2023-01-01,Bolívar,Jugo,Jugo Lima 1000mL x 6uds,Bolívar-Jugo-Jugo Lima 1000mL x 6uds,15,165,24000.00000000,3630720.00000000,3960000.00,329280.00000000,8.315151515200,2178000.00,1452720.00000000,40.011898466400,0.990000000000
2023-01-01,Bolívar,Agua,Agua Sin Gas 1L x 1uds,Bolívar-Agua-Agua Sin Gas 1L x 1uds,17,176,2500.00000000,370775.00000000,440000.00,69225.00000000,15.732954545500,176000.00,194775.00000000,52.531858944100,0.176000000000
2023-01-01,Bolívar,Jugo,Jugo Lima 2000mL x 12uds,Bolívar-Jugo-Jugo Lima 2000mL x 12uds,15,194,96000.00000000,16641600.00000000,18624000.00,1982400.00000000,10.644329896900,10243200.00,6398400.00000000,38.448226132100,4.656000000000
2023-01-01,Bolívar,Gaseosa,Uva 600mL x 24uds,Bolívar-Gaseosa-Uva 600mL x 24uds,14,140,50400.00000000,6056064.00000000,7056000.00,999936.00000000,14.171428571400,3628800.00,2427264.00000000,40.079893475400,2.016000000000
2023-01-01,Bolívar,Jugo,Jugo Naranja 2000mL x 24uds,Bolívar-Jugo-Jugo Naranja 2000mL x 24uds,16,161,192000.00000000,27786240.00000000,30912000.00,3125760.00000000,10.111801242200,17001600.00,10784640.00000000,38.812880044200,7.728000000000
2023-01-01,Boyacá,Agua,Agua Sin Gas 1L x 1uds,Boyacá-Agua-Agua Sin Gas 1L x 1uds,3,36,2500.00000000,82500.00000000,90000.00,7500.00000000,8.333333333300,36000.00,46500.00000000,56.363636363600,0.036000000000
2023-01-01,Boyacá,Gaseosa,Uva 600mL x 24uds,Boyacá-Gaseosa-Uva 600mL x 24uds,1,7,50400.00000000,352800.00000000,352800.00,0.00000000,0.000000000000,181440.00,171360.00000000,48.571428571400,0.100800000000
2023-01-01,Boyacá,Bebida de Té,Té Negro 500mL x 6uds,Boyacá-Bebida de Té-Té Negro 500mL x 6uds,1,1,18000.00000000,18000.00000000,18000.00,0.00000000,0.000000000000,9000.00,9000.00000000,50.000000000000,0.003000000000
2023-01-01,Boyacá,Agua,Agua Sin Gas 1L x 6uds,Boyacá-Agua-Agua Sin Gas 1L x 6uds,3,24,15000.00000000,352200.00000000,360000.00,7800.00000000,2.166666666700,144000.00,208200.00000000,59.114139693400,0.144000000000
2023-01-01,Boyacá,Bebida de Té,Té Verde 300mL x 6uds,Boyacá-Bebida de Té-Té Verde 300mL x 6uds,1,10,10800.00000000,108000.00000000,108000.00,0.00000000,0.000000000000,54000.00,54000.00000000,50.000000000000,0.018000000000
2023-01-01,Boyacá,Jugo,Jugo Manzana 2000mL x 24uds,Boyacá-Jugo-Jugo Manzana 2000mL x 24uds,3,34,192000.00000000,5452800.00000000,6528000.00,1075200.00000000,16.470588235300,3590400.00,1862400.00000000,34.154929577500,1.632000000000
2023-01-01,Boyacá,Bebida Energética,Power Up 500mL x 6uds,Boyacá-Bebida Energética-Power Up 500mL x 6uds,1,11,30000.00000000,237600.00000000,330000.00,92400.00000000,28.000000000000,148500.00,89100.00000000,37.500000000000,0.033000000000
2023-01-01,Boyacá,Agua,Agua con Gas 500mL x 6uds,Boyacá-Agua-Agua con Gas 500mL x 6uds,2,16,7500.00000000,94800.00000000,120000.00,25200.00000000,21.000000000000,48000.00,46800.00000000,49.367088607600,0.048000000000
2023-01-01,Boyacá,Agua,Agua con Gas 5L x 1uds,Boyacá-Agua-Agua con Gas 5L x 1uds,2,12,12500.00000000,142500.00000000,150000.00,7500.00000000,5.000000000000,60000.00,82500.00000000,57.894736842100,0.060000000000
2023-01-01,Boyacá,Jugo,Jugo Lima 1000mL x 6uds,Boyacá-Jugo-Jugo Lima 1000mL x 6uds,2,26,24000.00000000,602160.00000000,624000.00,21840.00000000,3.500000000000,343200.00,258960.00000000,43.005181347200,0.156000000000
2023-01-01,Boyacá,Bebida de Té,Té Verde 500mL x 12uds,Boyacá-Bebida de Té-Té Verde 500mL x 12uds,4,50,36000.00000000,1608480.00000000,1800000.00,191520.00000000,10.640000000000,900000.00,708480.00000000,44.046553267700,0.300000000000
2023-01-01,Boyacá,Gaseosa,Cola 600mL x 24uds,Boyacá-Gaseosa-Cola 600mL x 24uds,1,6,50400.00000000,302400.00000000,302400.00,0.00000000,0.000000000000,155520.00,146880.00000000,48.571428571400,0.086400000000
2023-01-01,Cundinamarca,Bebida de Té,Té Negro 500mL x 6uds,Cundinamarca-Bebida de Té-Té Negro 500mL x 6uds,42,493,18000.00000000,8255880.00000000,8874000.00,618120.00000000,6.965517241400,4437000.00,3818880.00000000,46.256486286100,1.479000000000
2023-01-01,Cundinamarca,Agua,Agua con Gas 500mL x 6uds,Cundinamarca-Agua-Agua con Gas 500mL x 6uds,47,513,7500.00000000,3460650.00000000,3847500.00,386850.00000000,10.054580896700,1539000.00,1921650.00000000,55.528585670300,1.539000000000
2023-01-01,Cundinamarca,Jugo,Jugo Lima 2000mL x 12uds,Cundinamarca-Jugo-Jugo Lima 2000mL x 12uds,46,536,96000.00000000,47640000.00000000,51456000.00,3816000.00000000,7.416044776100,28300800.00,19339200.00000000,40.594458438300,12.864000000000
2023-01-01,Cundinamarca,Jugo,Jugo Naranja 2000mL x 24uds,Cundinamarca-Jugo-Jugo Naranja 2000mL x 24uds,47,525,192000.00000000,91835520.00000000,100800000.00,8964480.00000000,8.893333333300,55440000.00,36395520.00000000,39.631201522000,25.200000000000
2023-01-01,Cundinamarca,Gaseosa,Cola 600mL x 24uds,Cundinamarca-Gaseosa-Cola 600mL x 24uds,34,312,50400.00000000,14130144.00000000,15724800.00,1594656.00000000,10.141025641000,8087040.00,6043104.00000000,42.767462242400,4.492800000000
2023-01-01,Cundinamarca,Jugo,Jugo Lima 1000mL x 6uds,Cundinamarca-Jugo-Jugo Lima 1000mL x 6uds,44,477,24000.00000000,10265760.00000000,11448000.00,1182240.00000000,10.327044025200,6296400.00,3969360.00000000,38.666012063400,2.862000000000
2023-01-01,Cundinamarca,Agua,Agua Sin Gas 1L x 6uds,Cundinamarca-Agua-Agua Sin Gas 1L x 6uds,94,1024,15000.00000000,13549050.00000000,15360000.00,1810950.00000000,11.790039062500,6144000.00,7405050.00000000,54.653647303700,6.144000000000
2023-01-01,Cundinamarca,Gaseosa,Uva 600mL x 24uds,Cundinamarca-Gaseosa-Uva 600mL x 24uds,48,518,50400.00000000,23304960.00000000,26107200.00,2802240.00000000,10.733590733600,13426560.00,9878400.00000000,42.387543252600,7.459200000000
2023-01-01,Cundinamarca,Agua,Agua Sin Gas 1L x 1uds,Cundinamarca-Agua-Agua Sin Gas 1L x 1uds,37,372,2500.00000000,792950.00000000,930000.00,137050.00000000,14.736559139800,372000.00,420950.00000000,53.086575446100,0.372000000000
2023-01-01,Cundinamarca,Bebida de Té,Té Verde 500mL x 12uds,Cundinamarca-Bebida de Té-Té Verde 500mL x 12uds,44,557,36000.00000000,18478080.00000000,20052000.00,1573920.00000000,7.849192100500,10026000.00,8452080.00000000,45.741115960100,3.342000000000
2023-01-01,Cundinamarca,Bebida de Té,Té Verde 300mL x 6uds,Cundinamarca-Bebida de Té-Té Verde 300mL x 6uds,44,442,10800.00000000,4305204.00000000,4773600.00,468396.00000000,9.812217194600,2386800.00,1918404.00000000,44.560118405500,0.795600000000
2023-01-01,Cundinamarca,Jugo,Jugo Manzana 2000mL x 24uds,Cundinamarca-Jugo-Jugo Manzana 2000mL x 24uds,46,447,192000.00000000,76965120.00000000,85824000.00,8858880.00000000,10.322147651000,47203200.00,29761920.00000000,38.669360874100,21.456000000000
2023-01-01,Cundinamarca,Agua,Agua con Gas 5L x 1uds,Cundinamarca-Agua-Agua con Gas 5L x 1uds,52,529,12500.00000000,6071250.00000000,6612500.00,541250.00000000,8.185255198500,2645000.00,3426250.00000000,56.434012765100,2.645000000000
2023-01-01,Cundinamarca,Bebida Energética,Power Up 500mL x 6uds,Cundinamarca-Bebida Energética-Power Up 500mL x 6uds,37,429,30000.00000000,11338800.00000000,12870000.00,1531200.00000000,11.897435897400,5791500.00,5547300.00000000,48.923166472600,1.287000000000
2023-01-01,Meta,Agua,Agua con Gas 5L x 1uds,Meta-Agua-Agua con Gas 5L x 1uds,6,41,12500.00000000,429500.00000000,512500.00,83000.00000000,16.195121951200,205000.00,224500.00000000,52.270081490100,0.205000000000
2023-01-01,Meta,Jugo,Jugo Lima 1000mL x 6uds,Meta-Jugo-Jugo Lima 1000mL x 6uds,3,24,24000.00000000,535440.00000000,576000.00,40560.00000000,7.041666666700,316800.00,218640.00000000,40.833706857900,0.144000000000
2023-01-01,Meta,Gaseosa,Cola 600mL x 24uds,Meta-Gaseosa-Cola 600mL x 24uds,2,19,50400.00000000,852768.00000000,957600.00,104832.00000000,10.947368421100,492480.00,360288.00000000,42.249240121600,0.273600000000
2023-01-01,Meta,Bebida Energética,Power Up 500mL x 6uds,Meta-Bebida Energética-Power Up 500mL x 6uds,3,41,30000.00000000,1230000.00000000,1230000.00,0.00000000,0.000000000000,553500.00,676500.00000000,55.000000000000,0.123000000000
2023-01-01,Meta,Bebida de Té,Té Negro 500mL x 6uds,Meta-Bebida de Té-Té Negro 500mL x 6uds,3,24,18000.00000000,370080.00000000,432000.00,61920.00000000,14.333333333300,216000.00,154080.00000000,41.634241245100,0.072000000000
2023-01-01,Meta,Bebida de Té,Té Verde 300mL x 6uds,Meta-Bebida de Té-Té Verde 300mL x 6uds,4,45,10800.00000000,486000.00000000,486000.00,0.00000000,0.000000000000,243000.00,243000.00000000,50.000000000000,0.081000000000
2023-01-01,Meta,Jugo,Jugo Manzana 2000mL x 24uds,Meta-Jugo-Jugo Manzana 2000mL x 24uds,2,24,192000.00000000,4233600.00000000,4608000.00,374400.00000000,8.125000000000,2534400.00,1699200.00000000,40.136054421800,1.152000000000
2023-01-01,Meta,Jugo,Jugo Lima 2000mL x 12uds,Meta-Jugo-Jugo Lima 2000mL x 12uds,1,4,96000.00000000,384000.00000000,384000.00,0.00000000,0.000000000000,211200.00,172800.00000000,45.000000000000,0.096000000000
2023-01-01,Meta,Agua,Agua Sin Gas 1L x 6uds,Meta-Agua-Agua Sin Gas 1L x 6uds,9,84,15000.00000000,1168350.00000000,1260000.00,91650.00000000,7.273809523800,504000.00,664350.00000000,56.862241622800,0.504000000000
2023-01-01,Meta,Bebida de Té,Té Verde 500mL x 12uds,Meta-Bebida de Té-Té Verde 500mL x 12uds,2,25,36000.00000000,768960.00000000,900000.00,131040.00000000,14.560000000000,450000.00,318960.00000000,41.479400749100,0.150000000000
2023-01-01,Meta,Jugo,Jugo Naranja 2000mL x 24uds,Meta-Jugo-Jugo Naranja 2000mL x 24uds,2,24,192000.00000000,4608000.00000000,4608000.00,0.00000000,0.000000000000,2534400.00,2073600.00000000,45.000000000000,1.152000000000
2023-01-01,Meta,Gaseosa,Uva 600mL x 24uds,Meta-Gaseosa-Uva 600mL x 24uds,2,42,50400.00000000,1884960.00000000,2116800.00,231840.00000000,10.952380952400,1088640.00,796320.00000000,42.245989304800,0.604800000000
2023-01-01,Meta,Agua,Agua con Gas 500mL x 6uds,Meta-Agua-Agua con Gas 500mL x 6uds,4,41,7500.00000000,299100.00000000,307500.00,8400.00000000,2.731707317100,123000.00,176100.00000000,58.876629889700,0.123000000000
2023-01-01,Meta,Agua,Agua Sin Gas 1L x 1uds,Meta-Agua-Agua Sin Gas 1L x 1uds,7,86,2500.00000000,177800.00000000,215000.00,37200.00000000,17.302325581400,86000.00,91800.00000000,51.631046119200,0.086000000000
2023-01-01,Norte de Santander,Bebida de Té,Té Verde 300mL x 6uds,Norte de Santander-Bebida de Té-Té Verde 300mL x 6uds,9,128,10800.00000000,1235844.00000000,1382400.00,146556.00000000,10.601562500000,691200.00,544644.00000000,44.070610853800,0.230400000000
2023-01-01,Norte de Santander,Jugo,Jugo Manzana 2000mL x 24uds,Norte de Santander-Jugo-Jugo Manzana 2000mL x 24uds,7,92,192000.00000000,16435200.00000000,17664000.00,1228800.00000000,6.956521739100,9715200.00,6720000.00000000,40.887850467300,4.416000000000
2023-01-01,Norte de Santander,Jugo,Jugo Lima 1000mL x 6uds,Norte de Santander-Jugo-Jugo Lima 1000mL x 6uds,6,60,24000.00000000,1240320.00000000,1440000.00,199680.00000000,13.866666666700,792000.00,448320.00000000,36.145510835900,0.360000000000
2023-01-01,Norte de Santander,Gaseosa,Cola 600mL x 24uds,Norte de Santander-Gaseosa-Cola 600mL x 24uds,9,105,50400.00000000,4840416.00000000,5292000.00,451584.00000000,8.533333333300,2721600.00,2118816.00000000,43.773427738400,1.512000000000
2023-01-01,Norte de Santander,Bebida de Té,Té Negro 500mL x 6uds,Norte de Santander-Bebida de Té-Té Negro 500mL x 6uds,11,113,18000.00000000,1825920.00000000,2034000.00,208080.00000000,10.230088495600,1017000.00,808920.00000000,44.302050473200,0.339000000000
2023-01-01,Norte de Santander,Bebida Energética,Power Up 500mL x 6uds,Norte de Santander-Bebida Energética-Power Up 500mL x 6uds,7,56,30000.00000000,1477200.00000000,1680000.00,202800.00000000,12.071428571400,756000.00,721200.00000000,48.822095857000,0.168000000000
2023-01-01,Norte de Santander,Agua,Agua con Gas 5L x 1uds,Norte de Santander-Agua-Agua con Gas 5L x 1uds,7,79,12500.00000000,913625.00000000,987500.00,73875.00000000,7.481012658200,395000.00,518625.00000000,56.765631413300,0.395000000000
2023-01-01,Norte de Santander,Bebida de Té,Té Verde 500mL x 12uds,Norte de Santander-Bebida de Té-Té Verde 500mL x 12uds,8,59,36000.00000000,1912320.00000000,2124000.00,211680.00000000,9.966101694900,1062000.00,850320.00000000,44.465361445800,0.354000000000
2023-01-01,Norte de Santander,Agua,Agua con Gas 500mL x 6uds,Norte de Santander-Agua-Agua con Gas 500mL x 6uds,6,72,7500.00000000,462600.00000000,540000.00,77400.00000000,14.333333333300,216000.00,246600.00000000,53.307392996100,0.216000000000
2023-01-01,Norte de Santander,Jugo,Jugo Naranja 2000mL x 24uds,Norte de Santander-Jugo-Jugo Naranja 2000mL x 24uds,7,76,192000.00000000,13416960.00000000,14592000.00,1175040.00000000,8.052631578900,8025600.00,5391360.00000000,40.183171150500,3.648000000000
2023-01-01,Norte de Santander,Agua,Agua Sin Gas 1L x 6uds,Norte de Santander-Agua-Agua Sin Gas 1L x 6uds,17,129,15000.00000000,1771200.00000000,1935000.00,163800.00000000,8.465116279100,774000.00,997200.00000000,56.300813008100,0.774000000000
2023-01-01,Norte de Santander,Agua,Agua Sin Gas 1L x 1uds,Norte de Santander-Agua-Agua Sin Gas 1L x 1uds,4,46,2500.00000000,113050.00000000,115000.00,1950.00000000,1.695652173900,46000.00,67050.00000000,59.310039805400,0.046000000000
2023-01-01,Norte de Santander,Jugo,Jugo Lima 2000mL x 12uds,Norte de Santander-Jugo-Jugo Lima 2000mL x 12uds,7,51,96000.00000000,4746240.00000000,4896000.00,149760.00000000,3.058823529400,2692800.00,2053440.00000000,43.264563106800,1.224000000000
2023-01-01,Norte de Santander,Gaseosa,Uva 600mL x 24uds,Norte de Santander-Gaseosa-Uva 600mL x 24uds,3,18,50400.00000000,683424.00000000,907200.00,223776.00000000,24.666666666700,466560.00,216864.00000000,31.731984829300,0.259200000000
2023-01-01,Santander,Agua,Agua con Gas 5L x 1uds,Santander-Agua-Agua con Gas 5L x 1uds,15,196,12500.00000000,2196000.00000000,2450000.00,254000.00000000,10.367346938800,980000.00,1216000.00000000,55.373406193100,0.980000000000
2023-01-01,Santander,Bebida de Té,Té Verde 500mL x 12uds,Santander-Bebida de Té-Té Verde 500mL x 12uds,9,93,36000.00000000,2853720.00000000,3348000.00,494280.00000000,14.763440860200,1674000.00,1179720.00000000,41.339724990500,0.558000000000
2023-01-01,Santander,Jugo,Jugo Naranja 2000mL x 24uds,Santander-Jugo-Jugo Naranja 2000mL x 24uds,9,92,192000.00000000,16041600.00000000,17664000.00,1622400.00000000,9.184782608700,9715200.00,6326400.00000000,39.437462597200,4.416000000000
2023-01-01,Santander,Jugo,Jugo Manzana 2000mL x 24uds,Santander-Jugo-Jugo Manzana 2000mL x 24uds,12,159,192000.00000000,29412480.00000000,30528000.00,1115520.00000000,3.654088050300,16790400.00,12622080.00000000,42.914028330800,7.632000000000
2023-01-01,Santander,Jugo,Jugo Lima 1000mL x 6uds,Santander-Jugo-Jugo Lima 1000mL x 6uds,5,32,24000.00000000,661200.00000000,768000.00,106800.00000000,13.906250000000,422400.00,238800.00000000,36.116152450100,0.192000000000
2023-01-01,Santander,Gaseosa,Uva 600mL x 24uds,Santander-Gaseosa-Uva 600mL x 24uds,10,95,50400.00000000,4400928.00000000,4788000.00,387072.00000000,8.084210526300,2462400.00,1938528.00000000,44.048164387100,1.368000000000
2023-01-01,Santander,Bebida de Té,Té Negro 500mL x 6uds,Santander-Bebida de Té-Té Negro 500mL x 6uds,9,96,18000.00000000,1468620.00000000,1728000.00,259380.00000000,15.010416666700,864000.00,604620.00000000,41.169260938800,0.288000000000
2023-01-01,Santander,Jugo,Jugo Lima 2000mL x 12uds,Santander-Jugo-Jugo Lima 2000mL x 12uds,13,140,96000.00000000,11729280.00000000,13440000.00,1710720.00000000,12.728571428600,7392000.00,4337280.00000000,36.978228842700,3.360000000000
2023-01-01,Santander,Bebida Energética,Power Up 500mL x 6uds,Santander-Bebida Energética-Power Up 500mL x 6uds,12,155,30000.00000000,3808200.00000000,4650000.00,841800.00000000,18.103225806500,2092500.00,1715700.00000000,45.052780841300,0.465000000000
