REGION_CATEGORIA_PRODUCTO,MES,M3_PRODUCTO,ORIGEN,LOWER_BOUND,UPPER_BOUND,REGION,CATEGORIA,PRODUCTO
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-12-01 00:00:00.000,178.32,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-01-01 00:00:00.000,219.12,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-02-01 00:00:00.000,162.42,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-03-01 00:00:00.000,142.44,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-04-01 00:00:00.000,224.4,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-05-01 00:00:00.000,212.28,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-06-01 00:00:00.000,198.961239743,FORECAST 1,158.774609632,239.147869853,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-06-01 00:00:00.000,198.961239743,FORECAST 2,158.774609632,239.147869853,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-07-01 00:00:00.000,240.45214669,FORECAST 1,199.333735437,281.570557942,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-07-01 00:00:00.000,240.45214669,FORECAST 2,199.333735437,281.570557942,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-08-01 00:00:00.000,220.443078547,FORECAST 1,178.494724928,262.391432167,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-08-01 00:00:00.000,220.443078547,FORECAST 2,178.494724928,262.391432167,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-09-01 00:00:00.000,198.780804324,FORECAST 1,156.072704666,241.488903983,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-09-01 00:00:00.000,198.780804324,FORECAST 2,156.072704666,241.488903983,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-10-01 00:00:00.000,215.009806213,FORECAST 1,171.59376519,258.425847236,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-10-01 00:00:00.000,215.009806213,FORECAST 2,171.59376519,258.425847236,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-11-01 00:00:00.000,199.930275307,FORECAST 1,155.846307866,244.014242748,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-11-01 00:00:00.000,199.930275307,FORECAST 2,155.846307866,244.014242748,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-12-01 00:00:00.000,209.159308065,FORECAST 1,164.439347186,253.879268944,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2025-12-01 00:00:00.000,209.159308065,FORECAST 2,164.439347186,253.879268944,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-01-01 00:00:00.000,237.045416402,FORECAST 1,191.715576506,282.375256298,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-01-01 00:00:00.000,237.045416402,FORECAST 2,191.715576506,282.375256298,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-02-01 00:00:00.000,207.224983276,FORECAST 1,161.307029871,253.14293668,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-02-01 00:00:00.000,207.224983276,FORECAST 2,161.307029871,253.14293668,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-03-01 00:00:00.000,194.065120891,FORECAST 1,147.577471403,240.55277038,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-03-01 00:00:00.000,194.065120891,FORECAST 2,147.577471403,240.55277038,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-04-01 00:00:00.000,237.017930594,FORECAST 1,189.976362297,284.059498891,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-04-01 00:00:00.000,237.017930594,FORECAST 2,189.976362297,284.059498891,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-05-01 00:00:00.000,233.093480996,FORECAST 1,185.511647548,280.675314444,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2026-05-01 00:00:00.000,233.093480996,FORECAST 2,185.511647548,280.675314444,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-01-01 00:00:00.000,5.514,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-02-01 00:00:00.000,5.166,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-03-01 00:00:00.000,4.575,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-04-01 00:00:00.000,6.525,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-05-01 00:00:00.000,5.571,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-06-01 00:00:00.000,6.81,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-07-01 00:00:00.000,7.443,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-08-01 00:00:00.000,9.138,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-09-01 00:00:00.000,9.303,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-10-01 00:00:00.000,7.665,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-11-01 00:00:00.000,8.121,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2023-12-01 00:00:00.000,9.027,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-01-01 00:00:00.000,6.714,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-02-01 00:00:00.000,7.635,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-03-01 00:00:00.000,9.411,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-04-01 00:00:00.000,8.529,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-05-01 00:00:00.000,7.545,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-06-01 00:00:00.000,9.624,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-07-01 00:00:00.000,10.257,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-08-01 00:00:00.000,12.642,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-09-01 00:00:00.000,11.844,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-10-01 00:00:00.000,13.263,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-11-01 00:00:00.000,9.597,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2024-12-01 00:00:00.000,11.634,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-01-01 00:00:00.000,9.459,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-02-01 00:00:00.000,7.251,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-03-01 00:00:00.000,7.857,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-04-01 00:00:00.000,8.553,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-05-01 00:00:00.000,9.189,ACTUAL,,,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-06-01 00:00:00.000,8.206777236,FORECAST 1,7.037895622,9.385113603,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-06-01 00:00:00.000,12.738425023,FORECAST 2,11.569543393,13.916761374,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-07-01 00:00:00.000,8.451835781,FORECAST 1,7.217929449,9.672386211,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-07-01 00:00:00.000,12.983483568,FORECAST 2,11.74957722,14.204033982,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-08-01 00:00:00.000,10.494280909,FORECAST 1,9.158201854,11.802266911,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-08-01 00:00:00.000,15.025928339,FORECAST 2,13.689849307,16.333914365,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-09-01 00:00:00.000,9.994350969,FORECAST 1,8.607440992,11.281961426,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-09-01 00:00:00.000,14.073795949,FORECAST 2,12.686885996,15.36140643,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-10-01 00:00:00.000,10.001197767,FORECAST 1,8.771810119,11.340545126,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-10-01 00:00:00.000,14.07453637,FORECAST 2,12.845148745,15.413883753,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-11-01 00:00:00.000,7.359277461,FORECAST 1,6.104912625,8.570494203,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-11-01 00:00:00.000,11.3469857,FORECAST 2,10.092620857,12.558202435,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-12-01 00:00:00.000,8.991767186,FORECAST 1,7.737523363,10.317604099,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2025-12-01 00:00:00.000,12.612903339,FORECAST 2,11.35865954,13.938740276,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2026-01-01 00:00:00.000,6.563258319,FORECAST 1,5.350878339,7.852913229,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2026-01-01 00:00:00.000,10.188247734,FORECAST 2,8.975867742,11.477902632,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2026-02-01 00:00:00.000,5.521290724,FORECAST 1,4.239931053,6.762119249,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2026-02-01 00:00:00.000,8.813325311,FORECAST 2,7.531965612,10.054153808,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2026-03-01 00:00:00.000,5.901924602,FORECAST 1,4.674649361,7.05842502,Antioquia,Agua,Agua con Gas 500mL x 6uds
Antioquia-Agua-Agua con Gas 500mL x 6uds,2026-03-01 00:00:00.000,9.193959189,FORECAST 2,7.96668392,10.350459579,Antioquia,Agua,Agua con Gas 500mL x 6uds
