REGION_CATEGORIA_PRODUCTO,MES,ORIGEN,M3_PRODUCTO,LOWER_BOUND,UPPER_BOUND,REGION,CATEGORIA,PRODUCTO,PERCENT_CHANGE_MONTH_OVER_MONTH
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-02-01 00:00:00.000,ACTUAL,2.079,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,10.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-03-01 00:00:00.000,ACTUAL,1.499,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-27.9
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-04-01 00:00:00.000,ACTUAL,1.682,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,12.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-05-01 00:00:00.000,ACTUAL,1.971,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,17.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-06-01 00:00:00.000,FORECAST 1,2.299,1.644,2.953,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,16.6
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-07-01 00:00:00.000,FORECAST 1,2.513,1.859,3.168,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,9.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-08-01 00:00:00.000,FORECAST 1,2.706,2.051,3.36,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,7.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-09-01 00:00:00.000,FORECAST 1,2.095,1.441,2.75,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-22.6
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-10-01 00:00:00.000,FORECAST 1,2.392,1.738,3.047,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,14.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-11-01 00:00:00.000,FORECAST 1,2.59,1.936,3.245,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,8.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-12-01 00:00:00.000,FORECAST 1,2.351,1.696,3.005,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-9.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-01-01 00:00:00.000,FORECAST 1,2.133,1.478,2.787,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-9.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-02-01 00:00:00.000,FORECAST 1,2.097,1.442,2.751,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-1.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-03-01 00:00:00.000,FORECAST 1,1.772,1.117,2.426,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-15.5
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-04-01 00:00:00.000,FORECAST 1,1.934,1.279,2.588,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,9.1
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-05-01 00:00:00.000,FORECAST 1,2.196,1.541,2.85,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,13.6
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-06-01 00:00:00.000,FORECAST 2,2.29,1.636,2.945,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,16.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-07-01 00:00:00.000,FORECAST 2,2.505,1.85,3.159,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,9.4
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-08-01 00:00:00.000,FORECAST 2,2.698,2.043,3.352,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,7.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-09-01 00:00:00.000,FORECAST 2,2.087,1.433,2.742,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-22.6
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-10-01 00:00:00.000,FORECAST 2,2.384,1.729,3.038,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,14.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-11-01 00:00:00.000,FORECAST 2,2.715,2.061,3.37,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,13.9
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-12-01 00:00:00.000,FORECAST 2,2.474,1.82,3.129,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-8.9
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-01-01 00:00:00.000,FORECAST 2,2.209,1.555,2.864,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-10.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-02-01 00:00:00.000,FORECAST 2,2.198,1.543,2.852,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-0.5
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-03-01 00:00:00.000,FORECAST 2,1.886,1.231,2.54,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-14.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-04-01 00:00:00.000,FORECAST 2,1.957,1.302,2.611,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,3.8
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2026-05-01 00:00:00.000,FORECAST 2,2.197,1.543,2.852,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,12.3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-01-01 00:00:00.000,ACTUAL,2.22,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-02-01 00:00:00.000,ACTUAL,2.976,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,34.1
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-03-01 00:00:00.000,ACTUAL,1.296,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-56.5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-04-01 00:00:00.000,ACTUAL,2.118,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,63.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-05-01 00:00:00.000,ACTUAL,2.166,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,2.3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-06-01 00:00:00.000,ACTUAL,1.914,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-11.6
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-07-01 00:00:00.000,ACTUAL,2.802,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,46.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-08-01 00:00:00.000,ACTUAL,3.546,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,26.6
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-09-01 00:00:00.000,ACTUAL,3.336,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-5.9
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-10-01 00:00:00.000,ACTUAL,4.614,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,38.3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-11-01 00:00:00.000,ACTUAL,2.262,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-51
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-12-01 00:00:00.000,ACTUAL,3.546,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,56.8
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-01-01 00:00:00.000,ACTUAL,3.624,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,2.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-02-01 00:00:00.000,ACTUAL,1.296,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-64.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-03-01 00:00:00.000,ACTUAL,1.08,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-16.7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-04-01 00:00:00.000,ACTUAL,1.11,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,2.8
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-05-01 00:00:00.000,ACTUAL,0.216,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-80.5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-08-01 00:00:00.000,ACTUAL,0.342,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,58.3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-09-01 00:00:00.000,ACTUAL,0.156,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-54.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-10-01 00:00:00.000,ACTUAL,0.312,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,100
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-11-01 00:00:00.000,ACTUAL,0.09,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-71.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-12-01 00:00:00.000,ACTUAL,0.714,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,693.3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-01-01 00:00:00.000,ACTUAL,0.24,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-66.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-02-01 00:00:00.000,ACTUAL,0.264,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,10
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-03-01 00:00:00.000,ACTUAL,0.24,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-9.1
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-04-01 00:00:00.000,ACTUAL,0.486,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,102.5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-05-01 00:00:00.000,ACTUAL,0.402,,,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-17.3
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-06-02 00:00:00.000,FORECAST 1,0.647,0.193,1.102,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,61
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-07-01 00:00:00.000,FORECAST 1,0.621,0.145,1.098,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-08-01 00:00:00.000,FORECAST 1,0.571,0.096,1.046,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-8.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-09-01 00:00:00.000,FORECAST 1,0.647,0.086,1.208,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,13.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-10-01 00:00:00.000,FORECAST 1,0.621,0.035,1.208,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-11-03 00:00:00.000,FORECAST 1,0.571,-0.025,1.167,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-8.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-12-01 00:00:00.000,FORECAST 1,0.647,-0.022,1.316,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,13.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-01-01 00:00:00.000,FORECAST 1,0.621,-0.077,1.32,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-02-02 00:00:00.000,FORECAST 1,0.571,-0.146,1.288,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-8.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-03-02 00:00:00.000,FORECAST 1,0.647,-0.138,1.433,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,13.4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-04-01 00:00:00.000,FORECAST 1,0.621,-0.199,1.442,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-4
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-05-01 00:00:00.000,FORECAST 1,0.583,-0.265,1.43,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-6.2
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-06-02 00:00:00.000,FORECAST 2,0.659,0.205,1.114,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,64
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-07-01 00:00:00.000,FORECAST 2,0.634,0.157,1.11,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-3.9
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-08-01 00:00:00.000,FORECAST 2,0.583,0.108,1.058,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-8
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-09-01 00:00:00.000,FORECAST 2,0.659,0.098,1.22,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,13.1
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-10-01 00:00:00.000,FORECAST 2,0.634,0.047,1.22,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-3.9
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-11-03 00:00:00.000,FORECAST 2,0.583,-0.013,1.179,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-8
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-12-01 00:00:00.000,FORECAST 2,0.659,-0.01,1.328,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,13.1
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-01-01 00:00:00.000,FORECAST 2,0.716,0.018,1.415,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,8.7
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-02-02 00:00:00.000,FORECAST 2,0.666,-0.051,1.383,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-7.1
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-03-02 00:00:00.000,FORECAST 2,0.742,-0.044,1.528,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,11.5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-04-01 00:00:00.000,FORECAST 2,0.716,-0.104,1.537,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-3.5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-05-01 00:00:00.000,FORECAST 2,0.583,-0.265,1.43,Antioquia,Agua,ACHE2O Con Gas 1L x 6uds,-18.7
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-01-01 00:00:00.000,ACTUAL,0.142,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-02-01 00:00:00.000,ACTUAL,0.132,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-7.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-03-01 00:00:00.000,ACTUAL,0.204,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,54.8
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-04-01 00:00:00.000,ACTUAL,0.236,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,15.7
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-05-01 00:00:00.000,ACTUAL,0.293,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,24.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-06-01 00:00:00.000,ACTUAL,0.26,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-11.3
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-07-01 00:00:00.000,ACTUAL,0.485,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,86.5
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-08-01 00:00:00.000,ACTUAL,0.414,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-14.6
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-09-01 00:00:00.000,ACTUAL,0.36,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-13.2
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-10-01 00:00:00.000,ACTUAL,0.538,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,49.7
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-11-01 00:00:00.000,ACTUAL,0.272,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-49.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2023-12-01 00:00:00.000,ACTUAL,0.511,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,87.9
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-01-01 00:00:00.000,ACTUAL,0.439,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-14.2
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-02-01 00:00:00.000,ACTUAL,0.54,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,23.1
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-03-01 00:00:00.000,ACTUAL,0.388,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-28.1
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-04-01 00:00:00.000,ACTUAL,0.263,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-32.3
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-05-01 00:00:00.000,ACTUAL,0.519,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,97.7
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-06-01 00:00:00.000,ACTUAL,0.698,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,34.5
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-07-01 00:00:00.000,ACTUAL,0.821,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,17.6
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-08-01 00:00:00.000,ACTUAL,0.586,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-28.6
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-09-01 00:00:00.000,ACTUAL,0.714,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,21.8
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-10-01 00:00:00.000,ACTUAL,0.524,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-26.6
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-11-01 00:00:00.000,ACTUAL,0.556,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,6.2
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2024-12-01 00:00:00.000,ACTUAL,0.4,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-28.1
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-01-01 00:00:00.000,ACTUAL,0.371,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-7.3
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-02-01 00:00:00.000,ACTUAL,0.604,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,63
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-03-01 00:00:00.000,ACTUAL,0.655,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,8.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-04-01 00:00:00.000,ACTUAL,0.541,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-17.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-05-01 00:00:00.000,ACTUAL,0.538,,,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-0.5
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-06-01 00:00:00.000,FORECAST 1,0.602,0.529,0.675,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,11.9
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-07-01 00:00:00.000,FORECAST 1,0.641,0.567,0.714,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,6.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-08-01 00:00:00.000,FORECAST 1,0.634,0.561,0.708,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-1
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-09-01 00:00:00.000,FORECAST 1,0.619,0.545,0.692,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,-2.4
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-10-01 00:00:00.000,FORECAST 1,0.651,0.577,0.725,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,5.2
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-11-01 00:00:00.000,FORECAST 1,0.68,0.606,0.754,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,4.5
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2025-12-01 00:00:00.000,FORECAST 1,0.692,0.618,0.766,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,1.8
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2026-01-01 00:00:00.000,FORECAST 1,0.701,0.627,0.775,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,1.3
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2026-02-01 00:00:00.000,FORECAST 1,0.717,0.643,0.791,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,2.2
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2026-03-01 00:00:00.000,FORECAST 1,0.744,0.67,0.818,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,3.8
Antioquia-Agua-ACHE2O Con Gas 500mL x 1uds,2026-04-01 00:00:00.000,FORECAST 1,0.753,0.679,0.828,Antioquia,Agua,ACHE2O Con Gas 500mL x 1uds,1.3
