training_id,employee_id,course_name,status,training_date,plan_year,duration_hours
102,1013,Advanced Inventory Control,Scheduled,2024-06-29,2024,4
103,1013,Customer Service Excellence,Scheduled,2025-06-20,2025,4
104,1013,Leadership and Team Management,Scheduled,2025-10-27,2025,6
105,1013,Advanced Inventory Control,Completed,2025-04-22,2025,4
106,1013,Data Security Awareness,Scheduled,2025-12-02,2025,2
107,1013,Inventory Management Basics,Completed,2025-05-19,2025,3
108,1013,Workplace Safety and Compliance,Scheduled,2025-11-25,2025,2
109,1014,Workplace Safety and Compliance,Scheduled,2024-12-19,2024,2
110,1014,Customer Service Excellence,Completed,2024-04-12,2024,4
111,1014,Employee Wellness Program,Scheduled,2024-08-21,2024,2
112,1014,Data Security Awareness,Completed,2024-06-29,2024,2
113,1014,Inventory Management Basics,Completed,2024-08-30,2024,3
114,1014,Workplace Safety and Compliance,Scheduled,2025-11-26,2025,2
115,1014,Customer Service Excellence,Scheduled,2025-05-24,2025,4
116,1014,Employee Wellness Program,Completed,2025-01-12,2025,2
117,1014,Inventory Management Basics,Completed,2025-05-06,2025,3
118,1014,Data Security Awareness,Scheduled,2025-05-29,2025,2
119,1015,Employee Wellness Program,Scheduled,2024-11-25,2024,2
120,1015,Customer Service Excellence,Completed,2024-06-27,2024,4
121,1015,Inventory Management Basics,Completed,2024-04-19,2024,3
122,1015,Workplace Safety and Compliance,Completed,2024-09-02,2024,2
123,1015,Data Security Awareness,Completed,2024-07-26,2024,2
124,1015,Inventory Management Basics,Completed,2025-02-26,2025,3
125,1015,Employee Wellness Program,Completed,2025-01-16,2025,2
126,1015,Workplace Safety and Compliance,Completed,2025-02-23,2025,2
127,1015,Customer Service Excellence,Completed,2025-02-05,2025,4
128,1015,Data Security Awareness,Completed,2025-02-13,2025,2
129,1017,Workplace Safety and Compliance,Completed,2024-09-23,2024,2
130,1017,Customer Service Excellence,Completed,2024-08-29,2024,4
131,1017,Inventory Management Basics,Completed,2024-05-01,2024,3
132,1017,Financial Reporting for Retail,Completed,2024-08-31,2024,4
133,1017,Data Security Awareness,Scheduled,2024-09-24,2024,2
134,1017,Financial Reporting for Retail,Scheduled,2025-08-08,2025,4
135,1017,Customer Service Excellence,Scheduled,2025-10-10,2025,4
136,1017,Inventory Management Basics,Scheduled,2025-10-30,2025,3
137,1017,Data Security Awareness,Completed,2025-04-25,2025,2
138,1017,Workplace Safety and Compliance,Scheduled,2025-12-20,2025,2
139,1018,Advanced Inventory Control,Completed,2024-07-03,2024,4
140,1018,Customer Service Excellence,Completed,2024-12-12,2024,4
141,1018,Workplace Safety and Compliance,Scheduled,2025-01-01,2024,2
142,1018,Data Security Awareness,Scheduled,2024-08-14,2024,2
143,1018,Inventory Management Basics,Completed,2024-06-07,2024,3
144,1018,Inventory Management Basics,Completed,2025-02-06,2025,3
145,1018,Advanced Inventory Control,Completed,2025-01-31,2025,4
146,1018,Workplace Safety and Compliance,Completed,2025-01-15,2025,2
147,1018,Data Security Awareness,Scheduled,2025-08-10,2025,2
148,1018,Customer Service Excellence,Scheduled,2025-09-01,2025,4
149,1019,Customer Service Excellence,Completed,2024-08-31,2024,4
150,1019,Inventory Management Basics,Scheduled,2024-12-19,2024,3
151,1019,Workplace Safety and Compliance,Scheduled,2024-08-07,2024,2
152,1019,Employee Wellness Program,Completed,2024-10-24,2024,2
153,1019,Data Security Awareness,Completed,2024-08-24,2024,2
154,1019,Leadership and Team Management,Completed,2024-03-06,2024,6
155,1019,Workplace Safety and Compliance,Scheduled,2025-12-14,2025,2
156,1019,Leadership and Team Management,Completed,2025-05-14,2025,6
157,1019,Customer Service Excellence,Completed,2025-05-16,2025,4
158,1019,Data Security Awareness,Completed,2025-03-24,2025,2
159,1019,Employee Wellness Program,Scheduled,2025-09-23,2025,2
160,1019,Inventory Management Basics,Scheduled,2025-07-02,2025,3
161,1021,Workplace Safety and Compliance,Scheduled,2024-12-08,2024,2
162,1021,Leadership and Team Management,Completed,2024-03-04,2024,6
163,1021,Customer Service Excellence,Completed,2024-06-23,2024,4
164,1021,Data Security Awareness,Scheduled,2024-09-09,2024,2
165,1021,Marketing Campaign Strategies,Completed,2024-08-31,2024,5
166,1021,Inventory Management Basics,Completed,2024-06-30,2024,3
167,1021,Data Security Awareness,Completed,2025-02-09,2025,2
168,1021,Workplace Safety and Compliance,Scheduled,2025-06-10,2025,2
169,1021,Customer Service Excellence,Completed,2025-03-22,2025,4
170,1021,Marketing Campaign Strategies,Completed,2025-04-01,2025,5
171,1021,Inventory Management Basics,Scheduled,2025-12-27,2025,3
172,1021,Leadership and Team Management,Completed,2025-01-30,2025,6
173,1024,Customer Service Excellence,Scheduled,2024-09-29,2024,4
174,1024,Inventory Management Basics,Completed,2024-09-16,2024,3
175,1024,Data Security Awareness,Completed,2024-03-24,2024,2
176,1024,Workplace Safety and Compliance,Scheduled,2024-08-23,2024,2
177,1024,Financial Reporting for Retail,Completed,2024-11-04,2024,4
178,1024,Customer Service Excellence,Completed,2025-02-10,2025,4
179,1024,Financial Reporting for Retail,Scheduled,2025-07-23,2025,4
180,1024,Inventory Management Basics,Scheduled,2025-06-30,2025,3
181,1024,Workplace Safety and Compliance,Scheduled,2025-07-04,2025,2
182,1024,Data Security Awareness,Completed,2025-03-17,2025,2
183,1025,Data Security Awareness,Completed,2024-04-07,2024,2
184,1025,Retail Sales Techniques,Completed,2024-02-21,2024,5
185,1025,Inventory Management Basics,Completed,2024-11-04,2024,3
186,1025,Workplace Safety and Compliance,Completed,2024-10-26,2024,2
187,1025,Customer Service Excellence,Scheduled,2024-12-29,2024,4
188,1025,Workplace Safety and Compliance,Scheduled,2025-08-31,2025,2
189,1025,Data Security Awareness,Completed,2025-02-22,2025,2
190,1025,Retail Sales Techniques,Completed,2025-01-19,2025,5
191,1025,Inventory Management Basics,Scheduled,2025-08-30,2025,3
192,1025,Customer Service Excellence,Completed,2025-04-30,2025,4
193,1027,Workplace Safety and Compliance,Completed,2024-04-02,2024,2
194,1027,Data Security Awareness,Completed,2024-04-05,2024,2
195,1027,Retail Sales Techniques,Scheduled,2024-11-13,2024,5
196,1027,Customer Service Excellence,Scheduled,2025-03-27,2024,4
197,1027,Inventory Management Basics,Completed,2024-06-05,2024,3
198,1027,Retail Sales Techniques,Completed,2025-03-04,2025,5
199,1027,Data Security Awareness,Scheduled,2025-09-03,2025,2
200,1027,Customer Service Excellence,Scheduled,2025-10-29,2025,4
201,1027,Inventory Management Basics,Completed,2025-04-14,2025,3
202,1027,Workplace Safety and Compliance,Completed,2025-04-02,2025,2
203,1029,Data Security Awareness,Completed,2024-11-04,2024,2
204,1029,Customer Service Excellence,Completed,2024-11-05,2024,4
205,1029,Workplace Safety and Compliance,Scheduled,2025-03-19,2024,2
206,1029,Inventory Management Basics,Completed,2024-07-25,2024,3
207,1029,Advanced Inventory Control,Completed,2024-07-21,2024,4
208,1029,Customer Service Excellence,Scheduled,2025-12-17,2025,4
209,1029,Workplace Safety and Compliance,Completed,2025-05-22,2025,2
210,1029,Data Security Awareness,Scheduled,2025-07-15,2025,2
211,1029,Inventory Management Basics,Completed,2025-04-30,2025,3
212,1029,Advanced Inventory Control,Completed,2025-02-16,2025,4
213,1030,Inventory Management Basics,Completed,2024-08-09,2024,3
214,1030,Customer Service Excellence,Completed,2024-03-12,2024,4
215,1030,Data Security Awareness,Completed,2024-06-19,2024,2
216,1030,Workplace Safety and Compliance,Completed,2024-03-26,2024,2
217,1030,Advanced Inventory Control,Completed,2024-02-01,2024,4
218,1030,Workplace Safety and Compliance,Scheduled,2025-06-11,2025,2
219,1030,Advanced Inventory Control,Completed,2025-02-25,2025,4
220,1030,Data Security Awareness,Completed,2025-03-21,2025,2
221,1030,Customer Service Excellence,Completed,2025-05-17,2025,4
222,1030,Inventory Management Basics,Completed,2025-03-07,2025,3
223,1033,Workplace Safety and Compliance,Completed,2024-12-16,2024,2
224,1033,Data Security Awareness,Scheduled,2024-11-07,2024,2
225,1033,Customer Service Excellence,Completed,2024-11-11,2024,4
226,1033,Marketing Campaign Strategies,Completed,2024-01-04,2024,5
227,1033,Inventory Management Basics,Scheduled,2024-10-16,2024,3
228,1033,Marketing Campaign Strategies,Scheduled,2025-06-07,2025,5
229,1033,Data Security Awareness,Completed,2025-04-10,2025,2
230,1033,Inventory Management Basics,Scheduled,2025-07-13,2025,3
231,1033,Workplace Safety and Compliance,Scheduled,2025-12-07,2025,2
232,1033,Customer Service Excellence,Scheduled,2025-12-16,2025,4
233,1034,Workplace Safety and Compliance,Completed,2024-02-22,2024,2
234,1034,Advanced Inventory Control,Scheduled,2025-01-03,2024,4
235,1034,Inventory Management Basics,Completed,2024-09-29,2024,3
236,1034,Customer Service Excellence,Completed,2024-02-21,2024,4
237,1034,Data Security Awareness,Completed,2024-05-04,2024,2
238,1034,Workplace Safety and Compliance,Scheduled,2025-08-02,2025,2
239,1034,Customer Service Excellence,Scheduled,2025-11-28,2025,4
240,1034,Inventory Management Basics,Scheduled,2025-11-26,2025,3
241,1034,Data Security Awareness,Completed,2025-02-25,2025,2
242,1034,Advanced Inventory Control,Scheduled,2025-07-01,2025,4
243,1037,Inventory Management Basics,Scheduled,2024-12-12,2024,3
244,1037,Workplace Safety and Compliance,Completed,2024-03-29,2024,2
245,1037,Customer Service Excellence,Completed,2024-02-23,2024,4
246,1037,Financial Reporting for Retail,Completed,2024-06-22,2024,4
247,1037,Data Security Awareness,Completed,2024-03-26,2024,2
248,1037,Financial Reporting for Retail,Scheduled,2025-12-27,2025,4
249,1037,Inventory Management Basics,Completed,2025-03-10,2025,3
250,1037,Data Security Awareness,Scheduled,2025-09-06,2025,2
251,1037,Customer Service Excellence,Scheduled,2025-06-29,2025,4
252,1037,Workplace Safety and Compliance,Scheduled,2025-07-12,2025,2
253,1038,Workplace Safety and Compliance,Completed,2024-11-26,2024,2
254,1038,Advanced Inventory Control,Completed,2024-04-26,2024,4
255,1038,Data Security Awareness,Scheduled,2025-03-05,2024,2
256,1038,Customer Service Excellence,Completed,2024-09-24,2024,4
257,1038,Inventory Management Basics,Scheduled,2025-02-24,2024,3
258,1038,Workplace Safety and Compliance,Completed,2025-02-14,2025,2
259,1038,Advanced Inventory Control,Completed,2025-05-08,2025,4
260,1038,Data Security Awareness,Completed,2025-04-30,2025,2
261,1038,Inventory Management Basics,Completed,2025-05-13,2025,3
262,1038,Customer Service Excellence,Completed,2025-05-17,2025,4
263,1039,Data Security Awareness,Scheduled,2024-11-10,2024,2
264,1039,Workplace Safety and Compliance,Completed,2024-04-01,2024,2
265,1039,Customer Service Excellence,Completed,2024-06-25,2024,4
266,1039,Financial Reporting for Retail,Scheduled,2024-09-29,2024,4
267,1039,Inventory Management Basics,Scheduled,2025-02-08,2024,3
268,1039,Data Security Awareness,Scheduled,2025-05-25,2025,2
269,1039,Inventory Management Basics,Scheduled,2025-10-27,2025,3
270,1039,Customer Service Excellence,Scheduled,2025-12-26,2025,4
271,1039,Financial Reporting for Retail,Completed,2025-04-13,2025,4
272,1039,Workplace Safety and Compliance,Scheduled,2025-09-12,2025,2
273,1041,Data Security Awareness,Scheduled,2025-02-26,2024,2
274,1041,Customer Service Excellence,Completed,2024-06-18,2024,4
275,1041,Marketing Campaign Strategies,Scheduled,2025-01-15,2024,5
276,1041,Leadership and Team Management,Scheduled,2024-10-08,2024,6
277,1041,Workplace Safety and Compliance,Completed,2024-04-18,2024,2
278,1041,Inventory Management Basics,Completed,2024-02-27,2024,3
279,1041,Customer Service Excellence,Completed,2025-05-01,2025,4
280,1041,Marketing Campaign Strategies,Scheduled,2025-10-28,2025,5
281,1041,Workplace Safety and Compliance,Completed,2025-03-14,2025,2
282,1041,Inventory Management Basics,Scheduled,2025-06-10,2025,3
283,1041,Data Security Awareness,Completed,2025-01-09,2025,2
284,1041,Leadership and Team Management,Completed,2025-02-17,2025,6
285,1043,Data Security Awareness,Completed,2024-03-16,2024,2
286,1043,Customer Service Excellence,Scheduled,2024-06-27,2024,4
287,1043,Workplace Safety and Compliance,Scheduled,2024-11-21,2024,2
288,1043,Inventory Management Basics,Completed,2024-06-14,2024,3
289,1043,Employee Wellness Program,Completed,2024-02-19,2024,2
290,1043,Inventory Management Basics,Scheduled,2025-12-18,2025,3
291,1043,Employee Wellness Program,Scheduled,2025-11-08,2025,2
292,1043,Customer Service Excellence,Completed,2025-01-20,2025,4
293,1043,Workplace Safety and Compliance,Completed,2025-02-08,2025,2
294,1043,Data Security Awareness,Scheduled,2025-06-10,2025,2
295,1046,Retail Sales Techniques,Completed,2024-05-29,2024,5
296,1046,Workplace Safety and Compliance,Scheduled,2025-03-30,2024,2
297,1046,Inventory Management Basics,Completed,2024-04-16,2024,3
298,1046,Data Security Awareness,Completed,2024-12-23,2024,2
299,1046,Customer Service Excellence,Completed,2024-12-27,2024,4
300,1046,Retail Sales Techniques,Scheduled,2025-06-23,2025,5
301,1046,Customer Service Excellence,Scheduled,2025-09-22,2025,4
302,1046,Workplace Safety and Compliance,Completed,2025-04-29,2025,2
303,1046,Data Security Awareness,Scheduled,2025-08-11,2025,2
304,1046,Inventory Management Basics,Scheduled,2025-06-06,2025,3
305,1047,Workplace Safety and Compliance,Scheduled,2024-06-30,2024,2
306,1047,Data Security Awareness,Completed,2024-02-22,2024,2
307,1047,Customer Service Excellence,Completed,2024-02-04,2024,4
308,1047,Employee Wellness Program,Scheduled,2024-06-15,2024,2
309,1047,Inventory Management Basics,Completed,2024-08-15,2024,3
310,1047,Workplace Safety and Compliance,Completed,2025-04-28,2025,2
311,1047,Inventory Management Basics,Completed,2025-01-25,2025,3
312,1047,Customer Service Excellence,Scheduled,2025-12-16,2025,4
313,1047,Employee Wellness Program,Scheduled,2025-10-08,2025,2
314,1047,Data Security Awareness,Scheduled,2025-12-13,2025,2
315,1048,Workplace Safety and Compliance,Scheduled,2024-07-19,2024,2
316,1048,Customer Service Excellence,Completed,2024-11-21,2024,4
317,1048,Data Security Awareness,Completed,2024-02-08,2024,2
318,1048,Inventory Management Basics,Completed,2024-01-04,2024,3
319,1048,Employee Wellness Program,Completed,2024-07-03,2024,2
320,1048,Employee Wellness Program,Scheduled,2025-08-12,2025,2
321,1048,Customer Service Excellence,Completed,2025-03-01,2025,4
322,1048,Workplace Safety and Compliance,Completed,2025-05-15,2025,2
323,1048,Data Security Awareness,Scheduled,2025-08-10,2025,2
324,1048,Inventory Management Basics,Scheduled,2025-05-26,2025,3
325,1049,Workplace Safety and Compliance,Completed,2024-10-09,2024,2
326,1049,Inventory Management Basics,Scheduled,2024-10-06,2024,3
327,1049,Customer Service Excellence,Completed,2024-12-05,2024,4
328,1049,Data Security Awareness,Completed,2024-03-08,2024,2
329,1049,Workplace Safety and Compliance,Scheduled,2025-10-22,2025,2
330,1049,Data Security Awareness,Completed,2025-05-04,2025,2
331,1049,Customer Service Excellence,Completed,2025-04-05,2025,4
332,1049,Inventory Management Basics,Completed,2025-02-01,2025,3
333,1051,Customer Service Excellence,Completed,2024-04-29,2024,4
334,1051,Inventory Management Basics,Scheduled,2024-12-05,2024,3
335,1051,Data Security Awareness,Completed,2024-08-15,2024,2
336,1051,Workplace Safety and Compliance,Completed,2024-09-29,2024,2
337,1051,Financial Reporting for Retail,Completed,2024-05-07,2024,4
338,1051,Financial Reporting for Retail,Completed,2025-01-13,2025,4
339,1051,Workplace Safety and Compliance,Completed,2025-03-05,2025,2
340,1051,Data Security Awareness,Completed,2025-05-07,2025,2
341,1051,Customer Service Excellence,Scheduled,2025-12-09,2025,4
342,1051,Inventory Management Basics,Scheduled,2025-10-07,2025,3
343,1052,Leadership and Team Management,Completed,2024-04-28,2024,6
344,1052,Financial Reporting for Retail,Completed,2024-11-04,2024,4
345,1052,Data Security Awareness,Completed,2024-10-22,2024,2
346,1052,Workplace Safety and Compliance,Completed,2024-01-11,2024,2
347,1052,Inventory Management Basics,Completed,2024-04-17,2024,3
348,1052,Customer Service Excellence,Completed,2024-10-20,2024,4
349,1052,Data Security Awareness,Completed,2025-01-13,2025,2
350,1052,Workplace Safety and Compliance,Completed,2025-03-23,2025,2
351,1052,Customer Service Excellence,Scheduled,2025-09-08,2025,4
352,1052,Inventory Management Basics,Completed,2025-02-14,2025,3
353,1052,Leadership and Team Management,Scheduled,2025-07-28,2025,6
354,1052,Financial Reporting for Retail,Scheduled,2025-08-26,2025,4
355,1053,Data Security Awareness,Completed,2024-04-03,2024,2
356,1053,Employee Wellness Program,Scheduled,2024-11-06,2024,2
357,1053,Inventory Management Basics,Completed,2024-06-27,2024,3
358,1053,Workplace Safety and Compliance,Completed,2024-01-16,2024,2
359,1053,Customer Service Excellence,Completed,2024-12-06,2024,4
360,1053,Employee Wellness Program,Completed,2025-05-21,2025,2
361,1053,Customer Service Excellence,Scheduled,2025-12-21,2025,4
362,1053,Workplace Safety and Compliance,Completed,2025-03-13,2025,2
363,1053,Data Security Awareness,Scheduled,2025-11-03,2025,2
364,1053,Inventory Management Basics,Scheduled,2025-07-03,2025,3
365,1054,Employee Wellness Program,Scheduled,2024-07-29,2024,2
366,1054,Data Security Awareness,Scheduled,2024-10-27,2024,2
367,1054,Leadership and Team Management,Completed,2024-12-05,2024,6
368,1054,Customer Service Excellence,Scheduled,2024-11-16,2024,4
369,1054,Workplace Safety and Compliance,Completed,2024-05-29,2024,2
370,1054,Inventory Management Basics,Completed,2024-08-09,2024,3
371,1054,Employee Wellness Program,Scheduled,2025-09-08,2025,2
372,1054,Workplace Safety and Compliance,Completed,2025-01-15,2025,2
373,1054,Data Security Awareness,Completed,2025-04-19,2025,2
374,1054,Customer Service Excellence,Completed,2025-04-17,2025,4
375,1054,Leadership and Team Management,Scheduled,2025-11-01,2025,6
376,1054,Inventory Management Basics,Completed,2025-04-22,2025,3
377,1055,Inventory Management Basics,Completed,2024-07-13,2024,3
378,1055,Customer Service Excellence,Completed,2024-02-19,2024,4
379,1055,Advanced Inventory Control,Completed,2024-09-18,2024,4
380,1055,Data Security Awareness,Completed,2024-06-23,2024,2
381,1055,Workplace Safety and Compliance,Completed,2024-02-23,2024,2
382,1055,Customer Service Excellence,Completed,2025-03-01,2025,4
383,1055,Data Security Awareness,Scheduled,2025-07-13,2025,2
384,1055,Inventory Management Basics,Completed,2025-01-12,2025,3
385,1055,Advanced Inventory Control,Scheduled,2025-11-17,2025,4
386,1055,Workplace Safety and Compliance,Scheduled,2025-09-25,2025,2
387,1056,Workplace Safety and Compliance,Completed,2024-07-08,2024,2
388,1056,Advanced Inventory Control,Completed,2024-05-31,2024,4
389,1056,Data Security Awareness,Scheduled,2025-02-17,2024,2
390,1056,Leadership and Team Management,Scheduled,2025-03-19,2024,6
391,1056,Customer Service Excellence,Scheduled,2024-06-07,2024,4
392,1056,Inventory Management Basics,Scheduled,2025-01-10,2024,3
393,1056,Advanced Inventory Control,Scheduled,2025-11-26,2025,4
394,1056,Workplace Safety and Compliance,Scheduled,2025-09-26,2025,2
395,1056,Leadership and Team Management,Scheduled,2025-10-07,2025,6
396,1056,Data Security Awareness,Completed,2025-02-06,2025,2
397,1056,Customer Service Excellence,Completed,2025-01-09,2025,4
398,1056,Inventory Management Basics,Completed,2025-05-10,2025,3
399,1059,Employee Wellness Program,Scheduled,2024-10-13,2024,2
400,1059,Leadership and Team Management,Completed,2024-07-05,2024,6
401,1059,Inventory Management Basics,Completed,2024-01-17,2024,3
402,1059,Workplace Safety and Compliance,Scheduled,2024-08-08,2024,2
403,1059,Data Security Awareness,Completed,2024-04-16,2024,2
404,1059,Customer Service Excellence,Completed,2024-12-19,2024,4
405,1059,Employee Wellness Program,Scheduled,2025-07-30,2025,2
406,1059,Inventory Management Basics,Completed,2025-01-09,2025,3
407,1059,Data Security Awareness,Completed,2025-02-10,2025,2
408,1059,Customer Service Excellence,Completed,2025-05-06,2025,4
409,1059,Workplace Safety and Compliance,Completed,2025-03-14,2025,2
410,1059,Leadership and Team Management,Scheduled,2025-10-05,2025,6
411,1062,Retail Sales Techniques,Completed,2024-09-26,2024,5
412,1062,Leadership and Team Management,Completed,2024-08-20,2024,6
413,1062,Inventory Management Basics,Completed,2024-06-01,2024,3
414,1062,Workplace Safety and Compliance,Scheduled,2025-01-05,2024,2
415,1062,Data Security Awareness,Completed,2024-09-12,2024,2
416,1062,Customer Service Excellence,Completed,2024-01-22,2024,4
417,1062,Retail Sales Techniques,Completed,2025-02-23,2025,5
418,1062,Leadership and Team Management,Completed,2025-03-24,2025,6
419,1062,Data Security Awareness,Scheduled,2025-08-25,2025,2
420,1062,Workplace Safety and Compliance,Scheduled,2025-08-20,2025,2
421,1062,Inventory Management Basics,Completed,2025-03-09,2025,3
422,1062,Customer Service Excellence,Scheduled,2025-11-11,2025,4
423,1065,Data Security Awareness,Completed,2024-12-25,2024,2
424,1065,Customer Service Excellence,Completed,2024-03-05,2024,4
425,1065,Inventory Management Basics,Completed,2024-12-08,2024,3
426,1065,Leadership and Team Management,Completed,2024-08-02,2024,6
427,1065,Workplace Safety and Compliance,Scheduled,2024-06-30,2024,2
428,1065,Advanced Inventory Control,Completed,2024-05-03,2024,4
429,1065,Inventory Management Basics,Completed,2025-02-13,2025,3
430,1065,Data Security Awareness,Completed,2025-03-20,2025,2
